电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,Column1
东成西就2011,4773000,18000,27000,2050,14000,喜剧动作爱情奇幻,5.1,787,96,2,195,简介：出生在20世纪最无聊一天的尸体化妆师钟晓明（莫文蔚 饰）对爱情早已绝望，30多岁仍然孑然一身，而父亲阿B和自己昔日同窗嘉嘉的老少配婚姻则麻烦不断。嘉嘉接受周董（陈奕迅 饰）主办温拿纪念演唱会的订金后挥霍一空，阿B与钟晓明奔赴广州与周董谈判，于路意外结识梦想成为演员的出租车司机温奇（苏永康 饰）、玩音乐的富二代成玉（谭维维 饰）以及其随从小兵，一行人驾车撞上了聋哑白案师傅郑大雄（郑伊健 饰），不料郑大雄死而复生，原来他们几人分别是天龙八将转生，受命教化世人，并与叛徒夜叉展开宿命的对决。,
风暴,2047000,25000,29000,2257,12000,动作犯罪,7.5,568,104,1,108,简介：香港闹市街头，一辆押款车被前科累累的重犯曹楠劫持。重案组高级督察吕明哲率队赶往现场，与曹楠一伙发生激烈火拼。谁知危机关头，一辆突然出现的汽车搅乱战局。曹楠趁机逃走，而那辆车的车主陶成邦被警方请入警局。陶和明哲是老同学…,
寒战,5444000,50000,113000,8755,27000,剧情动作犯罪,9.2,1598,110,1,232,简介：“一辆冲锋车，五个警察，加上车上的装备，值多少钱？”一通来自绑匪的匿名电话，引起了香港警队高层的高度重视。该案件由鹰派人物行动副处长李文彬（梁家辉 饰）与年轻的管理副处长刘杰辉（郭富城 饰）一起负责，代号“寒战”。随后，匪徒展开了进一步行动：警察被杀、爆炸案频发……香港真的是“亚洲最安全城市”？,
深夜前的五分钟,427000,10000,20000,1697,4103,爱情悬疑小说改,9.4,267,121,0,121,简介：日本青年阿良（三浦春马 饰）在泳池邂逅了美丽女子若蓝（刘诗诗 饰），并结识了她的双胞胎姐妹如玫（刘诗诗 饰）。与沉稳恬静的若蓝不同，身为知名模特的如玫落落大方，开朗洒脱。但在进一步的交往中，阿良发现，若蓝对如玫抢走了许多她的东西抱有深深的怨恨，甚至连她最初喜欢的人天伦（张孝全 饰）如今也成为如玫的未婚夫。两个孤独的人儿敞开心扉，阿良和若蓝坠入爱河。谁知命运急转直下，如玫与若蓝相约前往毛里求斯做婚前的单身旅行，结果却发生了意外。姐妹俩只有一人回来，而她究竟是谁，没人能分得清楚……,
雪花秘扇,1060000,13000,44000,2774,11000,剧情历史小说改,8.6,251,98,4,65,简介：十九世纪初的中国，妇女还保留着裹小脚的复苏。在湖南的某个小镇，百合（李冰冰 饰）与雪花（全智贤 饰）按照当地风俗结为老同，自幼生活在一起，靠着女书交流彼此的心事，她们之间深厚的情感无 人能够取代。随着年龄的长大，百合与雪花必须嫁作人妇，从此开始了各自的苦难人生。21世纪 初，尼娜（李冰冰 饰）即将因公赴美，却在临行前夕得知好友索菲娅（全智贤 饰）车祸住院的消息。索菲娅是她自学生时代便在一起的好友，她们更按照古老的风俗结为老同。这场车祸，让久久失去联系的两人重新聚首……,
我的新野蛮女友,726000,2688,4586,374,4273,喜剧爱情,4.5,132,107,0,26,简介：影片讲述了男主人公牵牛（车太贤 饰）与新“野蛮”女友星星（宋茜 饰）从相恋到结婚的浪漫经历。星星是牵牛的小学初恋，由于韩语不流利常常被周围同学欺负。牵牛最初仍无法忘记分手离别的前任“她”，直到有一天，牵牛再次遇见初恋星星后，便不顾身边人的反对和她走进婚姻殿堂，没想到摆在他面前的却是超出想象的烦恼。,
二十二,4293000,38000,190000,51000,51000,纪实,9.9,3628,99,12,923,简介：在日本侵华战争（1937-1945）的八年期间，20万中国妇女被迫沦为日军性奴隶。在纪录电影《二十二》开拍之时，中国内地仅剩22位“慰安妇”幸存者。当光阴慢慢划过，时间抚平伤口，这些经历了常人无法想象磨难的老人们，如今又身在何处，过着怎样的生活，经历着怎样的悲喜忧乐？剧组在中国内地的黑龙江、山西、湖北、广西、海南5省的29个地区进行了几个月的拍摄，完整、全面的记录下了中国内地幸存的22位“慰安妇”老人在2014年的生活现状和其中几位老人的内心世界。,
孤岛惊魂,4496000,35000,44000,1519,17000,悬疑惊悚恐怖,2.8,1894,94,6,641,简介：雄踞东南亚的亿万富豪——OEC集团总裁陈家栋继承父亲的产业，并决心开发位于太平洋爪哇海上一个已经废弃40年的小岛。虽然父亲极力阻拦，但是利益熏心的家栋依然发起了孤岛探险的比赛。他开出100万元的巨额奖金，引得彭非（陈小春 饰）、沈依琳（杨幂 饰）、小野宏等8名男女搭上了前往小岛的游艇。一切看似顺风顺水，游艇却在航行中遭遇了离奇海难，令他们滞留小岛。在这座岛上，他们不仅遭到疯狂野猪的袭击，还发现了一座几成废墟的麻风病人的医院。此后不久，恐怖的事情接连发生，众人陷入一个无法退出的死亡游戏之中……,
盲探,4006000,42000,105000,9630,25000,喜剧爱情悬疑惊悚,9.3,1874,124,0,443,简介：曾是“O记”杰出探员的庄士敦（刘德华 饰），四年前因某起案件双目失明，但他仍乐此不疲捡起沉疴多年的无头之案调查，在给受害者讨回公道的同时赢得丰厚的悬红报酬。他判案手法独特，擅长在头脑中原原本本还原当事人所处的场景和持有的心情来追查线索。在追查“通渠水伤人事件”疑犯的过程中，庄偶然结识当年“O记”好哥们司徒法宝的下属何家彤（郑秀文 饰）。何虽然办案经验不足，但身手了得，关键时刻救下了正处在危急关头的庄。她对这位名震一时的“破案之神”佩服得五体投地，因此请求庄Sir接手帮忙调查许多年前失踪的好友小敏。,
第三个人,646000,4273,7403,332,2210,惊悚,暂无评分,评分人数不足,88,1,10,简介：保险评估员何伟（徐峥 饰）干净斯文，妻子肖风（陶虹 饰）刚刚怀孕，生活平静而从容。肖风的父母早年间死于非命，留下肖风和妹妹肖可（高圆圆 饰）早前相依为命。自幼年起，肖可一直被脑瘤折磨着。一次的病理报告呈现，她的日子不多了。二十岁的肖可希望能够在她有限的生命里感受一次轰轰烈烈的爱情。她遇到了一个和她同样郁郁寡欢，行为怪异的林先生，他们的爱情开始升温。突然间她发现了一个恐怖的线索，让她发誓要找到当年杀害自己父母的凶手，她把追踪目标锁定在自己的姐夫——当年只有十三岁的何伟身上......,
巴黎宝贝,480000,4071,5828,508,2775,剧情喜剧爱情,暂无评分,评分人数不足,92,0,14,简介：6年前，富二代马小顺（邓超 饰）来到法国巴黎留学，这座以浪漫著称的城市，俨然成了花花公子马小顺寻欢作乐的天堂。某天他和朋友胡打乱闹跑到精英精子库捐精，他的种子阴差阳错进入了绝望的中年女诗人艾玛的体内。原本渴望生出一个金发碧眼可爱小孩的艾玛，最终却生了一个黄皮肤黑头发的小女孩。艾玛一怒之下将精子库告上法庭，造成这一切的马小顺也被勒令遣返回国。这一变故不仅让小顺面临遣返，同时即将走入婚礼殿堂的女友艾米也决然离开。为了继续留在法国，小顺必须想法让艾玛的小孩承认他亲生父亲的身份。为此他展开了一连串的留守大作战……,
凯撒密令,163000,395,2457,100,283,剧情悬疑历史,暂无评分,评分人数不足,112,0,3,简介：耶稣被钉死在十字架上三年后，有传言说他将死而复生，并领导群众推翻罗马统治者。为了安稳民心，罗马政府派出一位官员去寻找耶稣的遗体以反驳传言。结果他在调查中频频受阻，不仅有人故意不想让他知道真相，自己也陷入了关于信仰的矛盾之中…,
一代宗师,8867000,94000,277000,35000,58000,剧情动作,9.2,3977,124,25,787,简介：广东佛山人叶问，年少时家境优渥，师从咏春拳第三代传人陈华顺学习拳法。1936年，佛山武术界乱云激荡。八卦拳宗师宫羽田年事已高，承诺隐退。其所担任的中华武士会会长职位，自然引起武林高手的关注与觊觎。包括宫羽田的独生女宫二在内，白猿马三、咏春叶问等高手无不将目光聚焦在正气凛然的宫羽田身上。拳有南北，国有南北乎？最有德行之人才堪会长重任，然这浮世虚名却引得无数迷乱之人狂醉奔忙，浪掷残生。生逢乱世，儿女情长埋藏心底，被冷若寒冰的车轮碾作碎泥…,
六弄咖啡馆,516000,12000,13000,2164,4615,剧情爱情,8.8,285,94,6,96,简介：小绿（董子健饰）出生于一个不同常人的家庭，从小与妈妈一起生活，坚强的绿妈历经辛劳抚养小绿成长。高中时期，小绿和最可爱的女生心蕊（颜卓灵饰）谈了恋爱，和好朋友阿智（林柏宏饰）欢乐地度过高中生涯。然而决定命运的联考让小绿和心蕊考到了不同学校。心蕊与小绿之间，受到了空间距离的严峻考验。在大学的生活，小绿经常去看望心蕊，他的贴心和细腻慢慢地征服了心蕊的心。然而，爱情的醇美也无法抵消两人距离的无力感，价值观逐渐改变，两人的感情中慢慢掺杂了一些其他的东西......,
毒战,8254000,73000,146000,26000,53000,剧情动作犯罪,9.7,4838,103,5,1000,简介：津海市缉毒大队队长张雷（孙红雷 饰）在医院意外见到因车祸入院的香港人蔡添明（古天乐 饰）。张队迅速判定蔡与毒品有关。经过审讯得知，有一车来自粤江的冰毒当天抵达津海，即将和当地的贩毒分子哈哈哥交易，而蔡正是双方联络的中间人。为保住性命，蔡添明积极配合，协助张队伪装成粤江大毒枭黎振标的侄子与哈哈碰头……,
我的青春期,1158000,22000,14000,1974,4834,剧情爱情,8.1,328,87,2,119,简介：赵闪闪（包贝尔 饰）是一位单纯善良的少年，默默喜欢着李春霞（孙怡 饰），两人考入了同一所高中，随着时间的推移，青涩的感情渐渐生根发芽，两人之间的距离越来越近。然而，来自学校和家长的压力让他们不得不暂时分开，他们许下承诺，共同努力考入同一所大学。然而，赵闪闪落榜了，深受打击的他郁郁寡欢。经历了种种波折，赵闪闪总算进入了理想的大学，然而，随之展现的丰富多彩的大千世界让赵闪闪眼花缭乱，李春霞那美好的身影渐渐在他的脑海里模糊起来。当赵闪闪发现自己内心真正的感情之时，一切都已经来不及了。,
蒸发太平洋,5419000,23000,27000,800,17000,剧情科幻冒险,3,3196,90,10,1225,简介：大洋航空新客机的首航中遭遇意外，迫降到怪物肆虐的好运岛上。包括王子、明星、记者在内的乘客随之与机组人员一起陷入了危险中。而一队神秘特工的出现，又让这架航班的命运和漂泊在大洋深处的神秘航母相连......,
让子弹飞,120000000,1016000,1928000,1058000,1441000,剧情喜剧动作,9.9,132825,127,98,28017,简介：民国年间，花钱捐得县长的马邦德（葛优 饰）走马上任，遭劫匪张麻子（姜文 饰）一伙伏击。马为保命，谎称自己是县长的汤师爷。为汤师爷许下的财富所动，张麻子摇身一变，化身县长，带着手下上任。鹅城地处偏僻，一方霸主黄四郎（周润发 饰）只手遮天，全然不将新来的县长放在眼里。鹅城上空愁云密布，血雨腥风在所难免……,
叶问：终极一战,2649000,21000,29000,3009,7489,剧情动作传记,5.1,1005,100,2,221,简介：1950年，咏春派一代宗师叶问与妻子张永成带同儿子叶准到澳门生活，继而到香港谋生。一次较量，梁双甘拜下风，并拜叶问为师。其后，叶问先后收了李琼、陈四妹（钟欣潼 饰）、邓声（陈小春 饰）、汪东、吴赞等人为徒。汪东与吴赞好斗，四处与其他门派“讲手”，经常需要叶问调解。另一方面，邓声沉迷名利，与贪污警员同流合污。徒弟们经常需要叶问调解。但最瞩目是与红颜知己珍妮一段鲜为人知的事迹。,
警察日记,732000,4715,8340,1155,2969,剧情悬疑惊悚犯罪,9.7,152,110,2,49,简介：内蒙古鄂尔多斯市准格尔旗公安局长郝万忠英年早逝后，以新华社记者沿着他的人生足迹采访其亲人、同事、工作对象的过程中再现出了一个见不得百姓受苦、嫉恶如仇、在工作干为上尽职尽责，充满了情怀的公安局长形象。郝万忠（王景春 饰）在十七年的从警生涯中，留下了六十八本工作日记。从他做刑警接触的第一桩重大命案——至今未破的悬案，到临终前的全局工作计划，详细记载了他每天的工作安排、案情分析、人生感悟，以及对那桩悬案的多次重新梳理和研究。正是这些平凡的点点滴滴让我们看到了一名基层公安局长的艰辛、不舍和追求；还有一名标准警...,
特殊身份,2415000,26000,21000,1915,12000,动作犯罪,5.3,809,95,2,232,简介：陈子龙（甄子丹 饰）是一个卧底，作为老大长毛雄的左膀右臂，他的身心承受巨大压力，加上老大已对他升起疑心，他急切希望复职，退出黑道。这一次，雄哥派子龙前往内地查探组织成员Sunny（安志杰 饰）的虚实。Sunny出身美国唐人街，早年曾跟子龙混迹江湖，但逐渐做大的他暗中黑了雄哥的货。另一方面，子龙的上司张Sir以复职为交换，同样命子龙调查Sunny。 谁知内地之行凶险非常，Sunny为人狡猾毒辣，而与内地警方的配合又矛盾冲突频频，加上神秘刺客“刀锋”（张涵予 饰）时隐时现，子龙不知不觉踏入阴谋重重的漩涡之中……,
死无葬身之地,223000,468,7574,230,1185,剧情悬疑,暂无评分,评分人数不足,94,0,12,简介：故事发生在1972年美国一个叫洛克威尔的小镇。莱瑞德上校负责将战争中牺牲的士兵遗体护送回他们的家乡，并为他们在当地举行军事化葬礼。这一次，莱瑞德上校来到洛克威尔镇，并带回了军官格威特的遗体。一对年老的黑人夫妇接待了莱瑞德，他们是格威特的父母。他们决定将格威特安葬在小镇的墓地里，却遭到了当地许多居民和政府的反对，原因就是格威特是一名黑人。面对一位英雄在死后还要忍受人们的种族歧视，莱瑞德上校悲愤不已，他决心通过自己的力量改变这一切。,
横跨西班牙,65000,398,3304,123,1144,剧情喜剧,暂无评分,评分人数不足,100,0,5,简介：Alonso是一名热爱滑板的少年，他决定以滑板为唯一交通工具横跨西班牙，在这一场非同寻常的旅程中Alonso遇到了形形色色的人，他们将逐渐明白Alonso为何要展开这样一段旅程，也将在不知不觉中影响Alonso的人生。,
由吻生爱,649000,699,5249,174,2020,剧情爱情,暂无评分,评分人数不足,98,0,8,简介：索尔不幸患上了艾滋病，她发布了广告寻找伴侣。记者达尼为了写报道，隐藏了身份并且故意接近索尔。在一系列的接触之后，索尔和达尼发现彼此竟然真的爱上了对方。达尼在发现爱上了索尔之后一直因为欺骗了她而感到痛苦与不安，就在达尼鼓起勇气想告诉索尔真相的时候，索尔提前发现了达尼的真实身份。两人因此断绝了来往，并且准备各自开始新的生活。但是两人心中仍然爱着对方，同时生活因为缺少了对方也变得索然无味，生活无法继续。在各自朋友的帮助和鼓励下，两人再次走到了一起。,
最后的英雄,2835000,1014,23000,1077,7662,剧情喜剧,9.1,116,92,0,49,简介：我是乔迪，一个狂热的电影工作者。我们此刻正在制作一部纪录片，一部记录超级英雄一生的纪录片。蒙蒂茄，一个不为人所知的小镇,这里是发现马格诺存在的第一个证据，位于巴达霍斯省几公里外的美达，这个小镇容纳了我们大家都耳熟能详的伟大人物。马格诺一个当地的孤儿但是却拥有超人一样的能量，超高速、非凡的力量、X射线视觉。一个从卑微的孤儿将会变成人类的大救世主。这位超级英雄为人类做出了巨大的贡献，成为人们眼中的神话。
爱在西班牙,125000,25,2797,60,1151,剧情喜剧爱情,暂无评分,评分人数不足,105,0,1,简介：路易斯 提奥 亚历山大 是要好的朋友，三个人都在为情感问题烦恼着。路易斯的烦恼是要不要和17岁的佩特莉莎交往；而提奥和亚历山大都是因为和各自的女友分手而郁闷不已。在音乐节上，佩特莉莎因为路易斯的行为而生气，想要离开他，路易斯则努力追回了佩特莉莎，并且俩人决定继续交往；亚历山大在音乐会上结识了一位女歌手，并开始了新的爱情；提奥在和前女友索菲亚一番长谈后放弃了和好的机会，选定亚历山大的前女友娜塔莉莎作为自己新的爱人。,
最后的权利 第一季,68000,136,1433,45,57,惊悚,暂无评分,评分人数不足,91,0,0,简介：在一座古老的别墅内，世代居住着一些守护者，他们的任务就是看守这座连接着天堂与地狱的老房子。莎拉是一名医院的护士，一天夜里莎拉值班时医院突然停电，黑暗中莎拉被掘墓者抓走，并把她带到了天堂与地狱的连接之所。当莎拉醒来的时候，发现自己在一座古老的房子之中，自己被绑在床上。房子是被一个小男孩康科德控制着，身边的守护者们告诉了她这座老房子的秘密，在这个古老的房子里每天都有奇怪的事发生。无意间莎拉闯入了关押吉姆的房子里，这只是对莎拉的测试...,
触不到的爱,224000,236,3875,84,1426,剧情悬疑惊悚,暂无评分,评分人数不足,85,0,2,简介：（正片5b币付费观看，大会员免费）澳大利亚惊悚片，看着窗外缓缓变换的景色，彤恩的眼神略带焦虑，因为她刚犯下一宗伤害案，身后还引来一名男子的调查与追缉，她带着女儿驾车逃往偏远的山区，在当地旅馆躲了起来。母女俩待在这与世隔绝的小小世界，享受难得的相处机会，然而当紧追在后的男子出现，却将拆散两人仅有的世界。,
性爱、婚姻和背叛,751000,1078,9239,169,1959,剧情喜剧,暂无评分,评分人数不足,97,0,1,简介：步入中年的成功人士查尔斯是一个非常出色的首席执行官，他拥有一个幸福美满的家庭，美丽的妻子和可爱的女儿陪伴在左右。这样幸福而平静的生活一直持续了十七年，查尔斯渐渐厌倦了这个一直平静的生活，他开始和年轻性感的秘书搞起了办公室恋情。妻子艾米丽发现了他的婚外情，但她没有正确面对查尔斯出轨的事实，也用出轨的方式来报复这个欺骗她的丈夫。直到查尔斯被秘书起诉性骚扰的时候，查尔斯真的意识到事态的严重性了，决定重新找回原本幸福美满的家庭。,
瓦斯科小丑,824000,6137,6999,338,1773,恐怖,3.6,168,81,1,38,简介：军人拜朗因擅离职守，被部队遣返，回到镇子上，他看望了妹妹克里斯蒂和她的未婚夫泰勒。来到镇子的第一晚，拜朗在得知妹夫泰勒的职业是做小丑后，拜朗怂恿泰勒去装扮成小丑，之后拜朗和装扮成小丑的泰勒去了附的学校拍照，但是第二天通过电视新闻得知当晚学校里发生了离奇的杀人事件，随后镇子上又发生了另一起杀人事件，其中一个死者竟是泰勒的同事，在警察调查后，一个神秘的老妇人来到了泰勒家中，告诉他们死亡事件是来自地狱的诅咒，瓦斯科小丑复活后的报复……,
狮心王理查：平叛之战,190000,689,3424,132,1377,剧情动作,暂无评分,评分人数不足,94,1,0,简介：公元1173年 英法之争引发欧洲分裂。英国国王率军攻打法国的时候，英国王子理查德、亨利和杰弗乘机篡夺了王位。亨利劝说理查德投靠法国，但他们却意见不一致。而另一边，内战连绵不断的法国，为了抵抗英国军队的进攻从而成立了同盟会，再加之鲁昂的城堡易守难攻，阻挡了英军进一步前进的步伐。但是武力并不是总能决定战争的最终胜负，就在这时所有的联盟被彻底打破，反叛军被打败，英王子们又回到了父亲身边，这所有的一切其实尽在英国国王的掌控之中。,
周三不存在,83000,234,1763,54,1106,剧情喜剧爱情,暂无评分,评分人数不足,125,0,0,简介：建筑工程师凯撒，每天都被老板留下加班，这也就导致他和女友的约会又一次的迟到。然而这一次约会出来之后让他没想到的是,女友约他出来竟然是要和他分手。凯撒听到这些话后很不甘心，也不明白这是为什么，他拼命地追赶、询问，想要挽回女友。凯撒的女友抵挡不住他的纠缠，正式的告诉凯撒，她已经和克洛迪雅的男友塞吉奥在一起了。女友的劈腿让凯撒整个人几近崩溃，但是他毫无办法，这段感情上的阴影一直笼罩着凯撒。然而一切阴霾终会被吹散，生活还要继续。
空气,229000,785,1485,64,1197,剧情科幻,暂无评分,评分人数不足,80,0,34,简介：影片讲述了一个热爱潜水的女人，她有一个相爱的男友，在一次潜水时男友突发意外去世，她十分伤心。然而生活还是要继续，但是对她来说自己却像一条离开水的鱼，终于她又一次潜水，当她从水中出来后，却惊讶的发现空气十分稀薄已经不足以支撑人类呼吸，好在氧气罐中还存有氧气，来到地面，她发现人们都相继昏迷，为了搞清楚究竟发生了什么，她开始了一场惊险的旅途。,
德克鲁传奇,222000,780,2127,63,1262,动作科幻,4,32,83,0,8,简介：大师穆根戴在海边捡到两个孩子，他相信这是命运把他们送到这里。他为两个孩子取名为奇卡拉和德克鲁，并训练他们拥有神奇的力量，赐予他们掌握战胜世界上所有邪恶力量的无限石头。在一次大师的比赛中奇卡拉偷袭打伤了德克鲁，并将其扔入海中。受伤失忆的德克鲁被海水带到一个不知名的小岛上，麦克福尔先生把他救了起来，并且收养了这个可怜的孩子，取名叫做瑞安。几年过后一群不明生物袭击了整个城镇，整个镇子从此笼罩上了可怕的阴影自此瑞安被迫踏上了制服神秘生物的征程……,
幽灵连线,240000,1152,1301,78,223,惊悚恐怖,暂无评分,评分人数不足,85,0,5,简介：泰勒和妻子切尔西搬进了姨妈去世后留给他们一栋房子，准备房价回升时再卖掉房子搬回洛杉矶。可是，他们不断地接到一个叫艾伦的女人打来的恐吓电话，在这之后接二连三的诡异事件相继发生。恐慌到极点的泰勒夫妇报了警，寻求警方的帮助。特纳警官在调查中慢慢弄清楚了艾伦的身份，事实的真相令他们更加恐慌，原来艾伦早已遇害死亡。泰勒和切尔西的好友猜测他们的房子中存在鬼魂，于是夫妻二人找到了洛夫乔伊灵异事件小组，请他们对这件事进行彻底调查。,
救赎,463000,296,2314,93,1426,剧情犯罪,暂无评分,评分人数不足,96,0,0,简介：（正片5b币付费观看，大会员免费）大卫和卡拉夫妇的第一个宝宝还没有出生就夭折了，为了缓解丧子的痛苦，他们来到一个小镇，搬入新家。悲痛的心情使得妻子卡拉对大卫非常冷漠，对这个新家也是种种的挑剔。卡拉发现家里的炉子坏了，于是找来兰迪帮忙修理炉子。通过这件事情，兰迪和大卫成为了好朋友，并且好心的大卫还帮兰迪在银行做担保。但是他们却不知道这个兰迪其实是个十足的骗子，经常冒充各种身份，四处份招摇撞骗。当得知了兰迪的真实身份和目的，大卫决定要让他受到应有的惩罚。,
变化的季节,104000,176,1098,51,937,剧情喜剧家庭,暂无评分,评分人数不足,84,0,0,简介：远离了麻烦的过去和在监狱里的前夫，Anneliese开始了新生活。她和儿子Bryce搬到了小镇松湾。Bryce在适应新学校的过程中遇到了困难。她的新朋友帮助她找到了一份工作，并很好地保护着Bryce。但当她的前夫从监狱释放出来的时候，她的秘密开始瓦解了......,
我最好朋友的婚礼,289000,3042,2186,200,1796,喜剧爱情,暂无评分,评分人数不足,87,0,14,简介：影片改编自好莱坞同名经典爱情喜剧。顾佳（舒淇 饰）是国内某时尚杂志的新任主编，奉命去米兰参加时装周。一通意外的电话让她刚刚落地就放弃了工作安排飞往伦敦。因为她曾经逃避但其实内心深爱的男人林然 （冯绍峰 饰）马上就要和一位年轻富家女萱萱（宋茜 饰）结婚，她想在婚礼之前把新郎抢回来。在飞往伦敦的飞机上，顾佳邂逅了型男Nick（凤小岳 饰），她一直出糗，令Nick非常尴尬。见面后，林然的准新娘萱萱却待她亲如姐妹。尽管内心矛盾，顾佳还是有意无意的制造着麻烦，并因为一个误会使婚礼无法在英国如期举行，但林然和萱萱情比金坚，顾...,
白幽灵传奇之绝命逃亡,333000,2805,3656,263,2077,动作,暂无评分,评分人数不足,95,0,34,简介：星生性嗜血残暴，冷酷无情。觊觎皇位已久的他下手将皇帝杀死，不仅如此，还试图戕害公主莲（刘亦菲 饰）和她的弟弟昭。无奈之下，手无寸铁的莲带着弟弟踏上了逃亡的旅途。雅各布（海登·克里斯滕森 饰）是一位骁勇善战的英国骑士，千里迢迢来到东方国度的他，只为了能够逃离曾经战争带来的痛苦记忆。然而，当雅各布决心保护莲和昭姐弟两时，雅各布发现自己再一次被迫置身于了权利和欲望的漩涡中心。为了不让自己的阴谋败露，星决定彻底铲除后患，他不仅开出高价悬赏莲和昭，还派出了凶狠的刺客一路追踪尾随。雅各布（海登·克里斯滕森 Hayden Christe...,
忠烈杨家将,968000,18000,20000,2483,6234,战争,9.1,481,98,1,106,简介：北宋年间，辽国兵马在耶律原（邵兵 饰）的率领下大举入侵中原，当今圣上着杨业（郑少秋 饰）和潘仁美两位重臣出兵抗辽。谁知潘仁美公报私仇，于金沙滩一役临阵撤兵，致令杨业陷入重围，困于两狼山城。杨家有子七人，依次为：延平（郑伊健 饰）、延定（于波 饰）、延光（周渝民 饰）、延辉（李晨 饰）、延德（林峰 饰）、延昭（吴尊 饰）和延嗣（付辛博 饰）。虽然前路凶多吉少，但为了营救父亲，杨家七人依旧冒险出征。苍凉两狼山，一曲忠义悲歌流传千古……苍凉两狼山，一曲忠义悲歌流传千古……,
最后的权利 第二季,42000,30,901,21,35,惊悚,暂无评分,评分人数不足,85,0,0,简介：一个名叫康科德的人接受了和交易的人的斗争，协和谈判允许进入天堂，在那里所有的世俗烦恼都统统消失了。古老的房子设在美国的一个小镇，就在在一条迷人的小街的尽头，这个房子已经站在这里很久很久了，任何人都可以记住，或者任何人都可以忘记。即使看守人也不能真正理解控制房屋的真正意思，然而这是守护者和恶魔正在寻找的所有答案的关键。在第一季，我们发现，这座房子拥有康科德的母亲和康科德的精神，它正在发动一场权力战争来控制房子。,
超脱,7899000,50000,531000,101000,134000,剧情,9.8,11531,97,79,2548,简介：亨利?巴赫特（艾德里安?布洛迪）来到社区学校担任代课老师。学校因学生反叛、经营不善而濒临绝境，多丽丝（刘玉玲 饰）为首的一批教师备受煎熬。亨利的第一堂课就遭遇了顽劣学生的挑衅，但是被他巧妙地化解。他赢得了女教师萨沙（克里斯蒂娜?亨德里克斯）的好感。同时，他的教学方式引起了同学们的兴趣，其中就包括因肥胖而苦闷的梅丽迪斯。她一直默默地承受着因体重带来的各种责骂与嘲笑。但是因为老师，她似乎又找到了一切的理由……但是，亨利其实内心也有很大的压力，他的爷爷处于弥留之际，他的母亲自杀阴影始终在脑海中萦绕。某天夜里...,
危险关系,1871000,20000,25000,1445,4187,剧情爱情,7.9,198,107,1,56,简介：本片改编自法国著名放荡主义小说，曾经被多次改编。三十年代，枪炮下的上海上流社会依旧纸醉金迷。谢易梵（张东健 饰）是有名的花花公子，莫婕妤（张柏芝 饰）是风情万种却深藏城府的豪门遗孀，两人有着不可分割的亲密关系。谢对出身名门的纯情寡妇杜芬玉（章子怡 饰）产生了兴趣。当即，谢、莫两人展开了以杜为诱饵的赌局游戏，赌的内容是谢得到杜的身体，而奖品则是谢梦寐以求的莫的身体。当所有的道德、禁忌完全被打破，这些游戏的男女纷纷陷入欲望的河流，种下了悲剧的结果......,
浮城大亨,1134000,12000,29000,4558,12000,剧情,9.7,808,100,2,259,简介：90年代，东印度公司首席大班布华泉年仅40岁，已经功成名就。不过在生活上，他却面临两个女人的感情纠结：一个是妻子阿娣，另一个是助理Fion。然而最令他痛苦的是自己的身世。40年前 ，因为一次海啸，泉妈的船遭遇不测，只领回了一个混血婴孩，那便是阿泉。从此，阿泉跟泉妈出海捕鱼。然而身世始终困扰着阿泉，即使在外籍的船上，他也难以获得认同…,
第一次,1670000,4834,17000,822,4910,爱情,8.2,146,103,0,57,简介：宋诗乔（Angelababy/杨颖 饰）经常独自对着录音机说出自己心中的秘密。因为她患有的先天性疾病，让她无法从事任何剧烈运动，甚至还有失忆的征兆。所以，诗乔习惯了用录音机记录下自己生活的点点滴滴。同时，她也习惯了经常服用药物带来的诸多不便。看在眼里，痛在心头的母亲郑青（江珊 饰）对诗乔的关怀无微不至，母女俩相依为命，但是母亲最大的心愿就是让女儿能够体会爱情的美好。正是青春年少的诗乔，也突然发觉身边缺少一个可以分享感受的伴侣。一次偶然的机会，她在游乐场扮演卡通玩偶的时候，巧遇了引吭高歌的摇滚青年——高中同学宫宁（...,
浮城谜事,840000,14000,32000,1679,4235,剧情,8.9,245,95,1,66,简介：警察童明松（祖锋 饰）负责调查一起车祸，大学生蚊子（常方源 饰） 意外惨死，童明松决定同哥们儿——喜欢蚊子的修车工秦枫（朱亚文 饰）一起调查事件真相。两人追查真相时牵扯出了中产阶级夫妻乔永照（秦昊 饰）和陆洁（郝蕾 饰），陆洁因为女儿在幼儿园的玩伴宇航，认识了她的妈妈桑琪（齐溪 饰），却在与其交往的过程中发现了丈夫的外遇……随着蛛丝马迹的层层披露，事情越来越蹊跷，童、秦二人发现乔永照、陆洁、桑琪都藏有不可告人的秘密。,
