电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,Column1
无姓之人,1812000,29000,175000,7886,25000,剧情爱情科幻奇幻,9.6,2346,155,28,638,简介：在2092年的未来，火星已成了地球人热衷的度假胜地。118岁高龄的尼莫·诺巴蒂是最后一位仍会死亡的自然人。记忆混乱的他在一次次的催眠及采访之中不断回忆自己的童年，却在每个人生分岔点都衍生出完全不同的人生。在这些不同的版本中，有母亲和父亲离婚后再婚而变成了尼莫“妹妹”的安娜，有身患抑郁症婚后情绪不稳的埃莉斯，还有与他育有三名子女的亚洲女孩吉恩...,
孤男寡女,556000,12000,21000,1086,8323,喜剧爱情,9.4,291,104,0,64,简介：华少（刘德华饰）是一个潇洒风流的电脑公司高层，公司里的一个小职员令他十分头痛。小职员命叫Kinki（郑秀文饰），每当她的神经质发作便会到处清洁，她一心想得到美满的爱情，实际却令她失望。后来Kinki做了华少的助理，乐于帮助他人的她引来了很多事端，华少不得不每次都帮她解围。导致公司的人都以为他们有染。华少的前女友看不过眼，便决定介绍少年富豪Roger（黄浩然饰）给Kinki认识，Roger对Kinki一见钟情，可是此时华少对Kinki表现出了过分的关心，让女友觉得他喜欢了Kinki。Roger逼着Kinki跟她结婚，Kinki打电话给华少求助，船在华少赶到...,
鳄鱼河,24000,23,398,6,60,剧情,暂无评分,评分人数不足,102,0,8,简介：本片拍于1964年，为罗维自导自演，张彻编剧，由60年代冒起之小生、花旦，张冲及李婷主演。故事描述，张冲及李婷为大学同学，二人于攻读时已堕爱网，惜两家上一代结怨二十年，虽所居仅隔一河，仍恍同陌路，尤其两家对岸隔河而居，其间不设桥樑，河中尤多鳄鱼，游者皆有被噬之险，故更形成对峙之势。,
英雄本色,6046000,57000,251000,24000,41000,剧情动作犯罪,9.8,5473,95,7,1131,简介：香港某个国际伪钞集团重要分子宋子豪（狄龙 饰）和Mark（周润发 饰）情同手足，某次宋子豪带手下谭成（李子雄 饰）去台北交易时被其出卖受枪伤被捕入狱，为替好兄弟报仇，Mark孤身赴台，结果被人打成瘸子，江湖地位自此一落千丈，而宋子豪的父亲也在不久丧命。 一向视宋子豪为偶像的宋子杰（张国荣 饰）得知哥哥的真实身份后，对黑社会及他恨之入骨，立誓利用警察身份将黑帮势力斩草除根...,
饮食男女-好远又好近,676000,2249,8641,369,2316,剧情喜剧爱情,暂无评分,评分人数不足,106,1,13,简介：唐士哲（曾江 饰）是远近驰名的大厨，做得一手好菜，他对两个女儿的要求非常严苛：每周末家庭聚餐必不可少，而且做的一定是素菜。两个女儿唐瓦儿（霍思燕 饰）、唐小兰（蒋梦婕 饰）无肉不欢，她们对这种家庭仪式抱着敷衍态度，对各自感情生活也一知半解。 唐瓦儿是典型的都市白领，经营着一家高级会所，跟游戏设计师张全（蓝正龙 饰）谈着一场姐弟恋。张全是一个宅男，他所熟悉的世界是一个“一加一肯定会等于二”的程序世界，但这种简单的游戏规则在感情中却到处碰壁，让他不知所措。,
激战,1697000,29000,55000,9280,29000,剧情动作,9.7,1843,121,3,364,简介：过气香港拳王程辉（张家辉 饰），在拳坛没落后，沉迷赌博，负债累累，为躲避追债人，逃亡澳门。在合租房中，程辉遇到了一对母女，这名母亲（梅婷 饰），患有精神病，小女孩（李馨巧 饰）不但要上学还要照顾妈妈。程辉和小女孩很投缘，两人时常扮成小动物，排演小品，逗小女孩的妈妈开心。与此同时，富二代林思齐（彭于晏 饰）遭遇家庭变故，他的父亲（高捷 饰）生意失败，变得一无所有，整日在酒吧糜烂...,
快餐车,6045000,54000,127000,14000,58000,喜剧动作,9.7,2689,108,4,474,简介：无比（洪金宝 饰）是巴塞罗那一间侦探社的打手，这天，他的侦探社接到了一单大生意：客人委托他们14天内找到一名叫歌利亚的女子和她的女儿施维亚。因为侦探社的社长侦探在外躲债，而无比又不想眼白白丢了一单生意，于是，他找来在当地经营快餐车的华人青年托马斯（成龙 饰）与大卫（元彪 饰）一起进行调查...,
警察故事3：超级警察,5647000,51000,204000,11000,41000,喜剧动作犯罪,9.8,2462,96,3,411,简介：陈家驹（成龙 饰）远赴大陆，化身囚犯打入国际军火毒品走私集团的内部。在大陆公安杨建华（杨紫琼 饰）的帮助下，家驹顺利接近了正在服刑的集团成员豹强（元华 饰）。豹强视家驹为心腹，和他策划越狱行动，为了放长线，家驹爽快应承了。,
暗战,1794000,22000,71000,8010,22000,剧情动作犯罪,9.8,1984,93,3,464,简介：大盗张彼德（刘德华 饰）得知生命只剩四周时，决定为死于黑道老大（李子雄 饰）之手的父亲报仇，为此他精心设计打劫了黑道老大的运输公司隔壁的财务公司，并挟持人质引来因得罪上级被转调文职的高级谈判专家何尚生（刘青云 饰）。何尚生在同张彼德展开追逐时，虽屡战屡败，却渐了解到黑帮老大实则借助运输公司做非法走私珠宝的生意，于是同张彼德化敌为友，携手同黑帮势力展开了斗智斗勇的游戏...,
卫斯理之蓝血人,783000,3893,44000,494,11000,爱情动作科幻小说改,6.3,138,85,1,29,简介：卫斯理是联合国外星生物分析局的特别成员，负责处理地球上一切和外星生物有关的事件。某次在古董店参观一块奇异的蓝色“人骨”时，卫斯理遇到少时曾有过一面之缘的、外表看来和一般美女无异的、血液是蓝色的外星人方天涯，当他想将其留住时，方天涯消失了。古董店附近发生了一宗外星生物突袭事件，美国隶属FBI的外星生物调查机构接到上级命令，派出队中精英白素和白奇伟兄妹领队到现场调查...,
