电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,,,,,,
小蝌蚪找妈妈,765000,1794,22000,3600,14000,动画,9.8,525,15,0,190,简介：本美术片是中国第一部水墨动画片，集体编导，艺术指导为特伟，美术指导为钱家骏。影片拍竣后的十多年，在多个国际电影节上获得荣誉，并在1962年第一届中国电影百花奖上荣获最佳美术片奖。青蛙妈妈产下的宝宝们慢慢长出尾巴变成一群小蝌蚪，它们在水塘里游啊游，遇到两只小鸡，虽然彼此不认识，可是也很快成了好朋友。小鸡和妈妈的亲密让小蝌蚪们羡慕不已，它们决定去找自己的妈妈，路上，它们从虾爷爷那里知道了妈妈的模样，以为能顺顺利利地把妈妈找到。可是找起来，还真不是一件简单事。,,,,,,
神笔,110000,972,7085,361,1865,动画,暂无评分,评分人数不足,20,1,16,简介：在一个久远的封建朝代，某座城池中，生活着一个名叫马良的男孩，他出身贫穷，孤苦零丁，但是却是一个有志气的好孩子。他看到达官显贵们潜心作画，十分羡慕，希望能够跟他们学画，可是却遭到了嘲笑讥讽。虽然如此，但马良毫不气馁，他因地取材，苦练画工，画技越来越好。某天，一位老神仙出现在马良面前，送给他一支神笔，用神笔画出的物品动物都会变成真的。马良记住神仙的教诲，只为穷人画画造福。但是贪婪的大官却盯上了这个宝贝。,,,,,,
猪八戒吃西瓜,113000,303,6365,328,2148,动画,暂无评分,评分人数不足,20,0,21,简介：本美术片为剪纸片。时逢六月酷暑，去西天取经的唐三藏师徒四人走得又渴又累，抬头一看前方有座寺庙，慌忙走了进去，谁想竟是座荒庙。孙猴将师父安顿好，外出去找吃食，八戒想先一步吃到食物，与他结伴同行，可是他实在太懒，走了一会便嚷嚷说肚子疼，孙猴无奈放下他独自去找吃的。孙猴费了番周折找到一堆美味水果时，八戒也无意间得到了一个大西瓜，只见他将西瓜分给四份，先拣最大一份吃了，随后又禁不住美味诱惑将师父和师兄弟那份吞下肚，这一切，都被孙猴看在眼里，孙猴决定好好将他戏耍一番。,,,,,,
小鲤鱼跳龙门,210000,270,5796,340,1973,动画,暂无评分,评分人数不足,18,0,39,简介：本美术片是民间传说“鲤鱼跳龙门”的故事新编，在1959年获中国第一届《大众电影》“百花奖”最佳美术片奖等奖。小鲤鱼小黑一跃跳过桥墩，得到四个小伙伴的喝彩，可是奶奶很不以为然，说要能像祖辈们那样跳过龙门才算有本事，并讲述了传说中的龙门之外的种种美景，五条小鲤鱼被奶奶的故事深深吸引，商议后决定出发找寻龙门。一路几次错认，它们游到一个大大的水库面前，认定水库就是龙门，开始想办法跃过。几番尝试终于成功，它们果真见到诸多异常美丽的景象，开始争论是留是回，这时，它们遇见了燕大姐，从她的口中得知了许多新事。,,,,,,
三毛流浪记,226000,877,11000,690,4235,动画漫画改,9.8,109,32,0,36,简介：三毛是旧社会的苦孩子，他无依无靠，受尽了折磨，但它又是一个善良的、勇敢的好孩子，他的遭遇就是旧社会千千万万少年儿童的遭遇。枯瘦如柴的三毛行走在灯火通明、笑语欢歌的大都会上海。狂风暴雨的大街小巷，到处可见外国产品的宣传广告，这里的繁荣与三毛没有一点关系。广告中胖娃娃吃的进口奶粉，他只能用那奶粉罐子当要饭的家伙。大雨之夜，三毛连暂时避雨的栖身之所都找不到，粗暴的警察和骄傲的阔太太随时驱赶着他。在人吃人的旧社会，饿肚子的穷人不得已出卖自己的孩子，售价却还不及橱窗里的洋娃娃。三毛走遍上海大街小巷，寻找能暂时...,,,,,,
差不多,148000,656,10000,715,3547,动画,暂无评分,评分人数不足,10,0,32,简介：小林学习射箭，刚能把箭射到靶子上，就以为自己技术已经差不多，准备带着猎狗去打猎，爷爷喊住他，要他射中红心再说。糟糕的箭术得到乌鸦嘲笑时，小林一气之下乱箭飞向乌鸦，不想有一枚正中红心。本是瞎蒙，小林却认为箭术差不多已经到家，决定去打猎。来到森林，小林把目标对准一头狼，哪知他射箭的水准不是差不多而是差很多，许多支箭射了出去，狼仍毫发未损。这时，狼看清了小林空有架子，开始朝他进攻。危难之际，小林爬上一棵大树，然而狼用牙齿很快锯断了大树，性命危在旦夕之际，小林听到了爷爷的声音。,,,,,,
二哥,47000,62,332,11,584,剧情搞笑,暂无评分,评分人数不足,已完结, 全24集,0,3,简介：该剧讲述了大都市中底层人物“二哥”的生活故事。,,,,,
深度秘密,101000,189,1078,42,733,,暂无评分,评分人数不足,已完结, 全26集,0,3,简介：简青和简阳是没有血缘关系的姐妹，简阳随母嫁给简青的父亲来到省城。简青让简阳到自己创办的装修公司，简阳放弃学业。刑警队副队长韩江追捕杀人在逃犯马衡山，在搏斗中马衡山死于非命。根据线索，韩江认定马衡山是追杀洪志明的蒙面杀手。韩江发现洪志明和简青关系非同一般，简青的丈夫齐敬林又是洪志明的好友。正当韩江的工作有了新的进展时，简阳被牵扯进来。而简阳恰是韩江一见钟情的恋人。洪志明得知雇马衡山杀自己的真凶是齐敬林的朋友孙万冬，他愤而杀了孙万冬，接着在韩江面前饮弹自尽。韩江渐渐缕清思绪，原来今天的案件都是过去仇恨的...,,,,,
神医侠侣,426000,9569,7340,430,2286,剧情,暂无评分,评分人数不足,已完结, 全40集,0,15,简介：故事发生在西汉初年，成就一世功业的汉高祖刘邦驾崩，虽然生前平定了韩信、彭越、英布等开国功臣的叛乱，却无法阻止皇后吕雉（刘雪华饰）的专权。在这个强势女人的阴影下，刘氏宗族惨遭屠戮，锦衣卫首领刘宣（赵文卓饰）被迫充当吕氏鹰犬，对同族亲眷痛下杀手。他和兄长刘湘（孙岩饰）共同喜欢吕后的侄女琴子（高圆圆饰），这段复杂的感情无疑成为兄弟俩矛盾的根源。偶然机缘，刘宣结识了名医淳于意那个调皮顽劣却纯真可爱的女儿缇萦（贾静雯饰），故事又朝着未知的方向发展。乱世初定，汹涌的权力斗争中，爱恋的男女随波逐流……,,,,,
绞杀1943,766000,1362,1693,147,1414,战争剧情,暂无评分,评分人数不足,已完结, 全30集,0,1,简介：1943年，抗日战争已接近尾声，但此时也是战事最为艰苦的时刻。时国民党方面派出由精锐组成的特种部队“猛虎队”潜入某日军基地，结果反遭日寇伏击，无一生还。此事在国民党高层内部引起巨大震动，不久连潜伏在日军内部的特务003也遭到截杀，高层遂决心清查党内的奸细，于是密令飒爽英姿的军统中校军官周志卿（车永莉饰）打入敌后调查真相。另一方面，她的姐姐至柔（陆玲饰）——也是牺牲的“猛虎队”队长尤龙之妻——真实身份为代号“延河一号”的中共高级特工。国仇家恨积聚于心，也促使她追查杀害丈夫的凶手。然躲在暗处的对手阴险狡猾、手段...,,,,,
生死兄弟情,40000,169,276,11,585,剧情,暂无评分,评分人数不足,已完结, 全37集,0,0,简介：1949年初，大批以农村干部为主的解放军部队进入城市。马安山和乔梁是一对异姓兄弟，从小一起长大的富家子弟乔梁对自己奶妈的儿子马安山有救命之恩，两人情同手足。上级任命马安山为临江军管会主任，乔梁为副主任。接管城市后的共产党干部们面临着如何从革命党转为执政党的严峻考验。马安山和乔梁这两个城市管理者产生了冲突。在经历一系列挫折后，马安山在实践中得到了成长。然而城市的稳定，经济的发展造成腐败滋长。总想用自己的才华为国家建功立业的乔梁，一直为自己生活在哥哥马安山阴影下感到沮丧。他在纠结和挣扎之中走向堕落和腐化。乔...,,,,,
新猫和老鼠 第一季,10781000,14000,3182000,11000,62000,,9.5,740,连载中,2,183,简介：在该系列中，猫和老鼠在现代化的环境中相遇，讲述了全新的故事和全新的人物，更是进入了从中世纪城堡到一个疯狂科学家的实验室奇妙的世界。,,,,,,
不知不觉爱上你,153000,660,4353,144,3191,喜剧爱情,暂无评分,评分人数不足,100,1,9,简介：山姆深爱未婚妻琳达，琳达却移情别恋毅然与他分手了。山姆没想到自己的无限量牺牲换不来女友的珍惜。山姆不愿就此放手，于是他在琳达与新男友安东尼的新居附近租下了房子，企图日夜监视琳达的生活，继续了解琳达是生活并希望琳达会有回心转意的一天。,,,,,,
小燕子,68000,241,4298,346,1520,动画,暂无评分,评分人数不足,15,0,21,简介：本美术片为水墨动画片。小燕子虽逐渐长大，却不懂得珍惜妈妈的劳动果实，常常把妈妈辛苦抓来的虫子随意扔掉。妈妈看到这种情况，想了个教育它的好办法：要它去抓虫子反哺妈妈。,,,,,,
敦煌，千年不散的宴席,1371000,3009,30000,1662,9103,历史美食人文自然,暂无评分,评分人数不足,已完结, 全4集,0,20,简介：敦煌是丝绸之路上四大文明的交汇处。这样的历史背景，让敦煌风物充满了混血的气质。而这样的混血基因同样渗透在人们的一日三餐中。本片精选独特且极具地方特色的敦煌美食，依据莫高窟壁画和藏经洞文书中的历史记录按图索骥，呈现敦煌本土菜肴与众不同的食材和有着深厚传统的烹制工艺。通过一道道美食的精彩呈现，带领观众走进时下敦煌的百姓生活；通过特色食材的发掘、独道烹饪技法的展示，呈现别具异域风情的敦煌饮食文化，为观众打开一张穿越千年依然活色生香的敦煌美食地图，在尽享历史文化盛宴的同时，开启一场火爆热烈的敦煌美食之旅。,,,,,
天下第一剑,73000,386,1546,63,3629,剧情,暂无评分,评分人数不足,87,0,3,简介：清朝康熙初年，康熙平定了三藩叛乱后，吴三桂的余孽孔捷雄率领残兵败将，逃窜到云南麓州一带，勾结当地摆夷贼首鲁塔，血染召罕勐宣抚司府。为平叛安民，康熙六派官员，均被劫杀。于是，再派老臣庆奕，微服简从，南下麓州。,,,,,,
绝密任务,245000,314,695,78,821,战争,暂无评分,评分人数不足,已完结, 全30集,0,3,简介：该剧主要讲述了民兵苟金石帮助红军运送黄金的故事。苟金石是一位民兵队长，因为勇敢机智会打仗而出名，从而被红军收编。苟金石虽然一心抗日保国，但是由于性格直率，自由惯了，一开始还与红军队伍有些摩擦。但是他勇敢、善良、坚韧，幽默仗义，不仅一次次与日本人周旋保护住了黄金，更逐渐得到所有人的认可。,,,,,
宁静的世界,6651000,7094,280000,27000,82000,自然探险科技,9.9,1079,已完结, 全10集,0,253,简介：《宁静的世界》是一部催眠放松剧，通过催眠影像和众星的旁白结合起来，以达到放松的效果，带观众进入一个完全放松的世界。这部10集系列集令人惊叹的视觉效果和引人入胜的叙事故事于一身，由凯特·温丝莱特、妮可·基德曼和刘玉玲等一线明星配音出演。,,,,,
人参娃娃,27000,177,1527,169,752,动画,暂无评分,评分人数不足,26,0,8,简介：北方某个美丽的小山村被财主胡刮皮霸占着，他对小长工小虎子非常苛刻，动不动就打骂。某日，他嫌刚挑完水的小虎子干活偷工减料，规定他挑满十大缸水方能睡觉，小虎子挑了将近一夜，仍没将活干完，可是在看到井边有个身穿红布兜的小兄弟想喝水时，他还是停下手里的活帮起他的忙来。,,,,,,
妈妈圈的流言蜚语,22000,9,139,8,48,剧情,暂无评分,评分人数不足,已完结, 全35集,0,0,简介：向未来，容色端丽、气质优雅，是人人称羡的家庭主妇。丈夫出轨后曾有严重的暴力倾向。向未来痛定思痛，带着儿子双桨离开伤心地，搬到新家，母子俩怀着美好的希望，开始崭新的生活，也迎来了双桨小升初的关键时刻。随着双桨转到了新学校——实验小学，向未来因此结识了四个性格各异背景不同的年轻妈妈，并被她们热情相邀加入了妈妈圈。然而妈妈圈并不太平，一波未平一波又起，一系列事件让各位妈妈们焦头烂额：“小升初保送名额”“更衣室事件”“亲弟弟假丈夫”等事件让向未来苦不堪言，过去的隐私一再被挖掘和放大，不断受到流言蜚语的恶意中...,,,,,
凡人时代 第二季,279000,859,11000,9814,17000,人文,9.9,246,连载中, 每周四 10:30更新,0,67,简介：《凡人时代》系列原创纪录片，由叙述方式文化出品，关注不同行业人物的真实人生，以平视的视角、温暖的风格，真实记录时代故事。,,,,,
谁的本领大,7721,41,436,32,147,动画,暂无评分,评分人数不足,10,0,4,简介：本动画片由上海电影专科学校动画专业第一届毕业生集体绘制，指导老师和编剧为张松林。喜鹊问谁的本领大，小鹿听到跳出来说是它，因为它跑得快，小猴听了，不以为然，说它的本领才大，因为它会爬树。小鹿和小猴争执不下…,,,,,,
大名府,62000,155,3870,274,1280,动画,暂无评分,评分人数不足,6,0,6,简介：昏庸无能的县官带着衙役把守城门，要捉拿梁山人马。可是机智勇敢的梁山英雄们却装扮成耍盘子的、花鼓女等卖艺人混进城去了。,,,,,,
日月同错 动态漫,6226000,21000,87000,56000,95000,,9.8,2027,连载中, 每周五12:00更新,6,768,简介：在这个世界上，有无数以人的生气为食的不死怪物，千万年以来都有修习法术之人与他们对抗，但都以失败告终，直到三真法门的出现，三位传人，在三个时代同时针对不死尸作战，他们是这活者与死者战争中唯一的胜算。,,,,,
首付,60000,109,359,15,127,剧情,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：“林小堂、邓勉之、庞立三人是同学兼死党，自称三剑客。林小堂和邓勉之同时爱上美女编剧吕夏，两兄弟为爱角逐，林小堂最终俘获吕夏，步入婚姻殿堂。邓勉之和和林小堂因此产生芥蒂。庞立跟女友花枝婚后生活拮据，丈母娘处处看不惯这个住在自己家里的女婿。林小堂和吕夏闪婚闪离，双方父母为挽救两人婚姻住进了两人首付的新房，两代人同处一室，再次上演了生活的悲喜剧。最终，林小堂和吕夏重新走到了一起。经历了风雨的几对年轻人终于明白爱情、友情、亲情应该合心协力，相互支持，才会营造一份和谐的美。,,,,,
米脂婆姨,214000,60,389,41,208,战争,暂无评分,评分人数不足,已完结, 全30集,0,2,简介：讲述了1937年7月7日中国抗日战争全面爆发后，三个不同出身姑娘在民族存亡关头，毅然走上前线，肩负起抗日救亡的重任；在解放战争中，她们巾帼不让须眉，带领后方广大妇女筹集干粮赶做军鞋，运送粮食、和军需物资，积极支援解放前线由彭沛导演亲自操刀的情感大戏《人道》已经正式开机，该剧豪华的主创班底、大手笔的投资制作、冲突激烈的剧情、白金级的演员阵容，达到了“巨无霸”水准。从《浴血玫瑰》剧组杀青归来的桑叶红马不停蹄地加盟到新剧组，投入了到新一轮的紧张工作当中。新戏里，“收视女王”桑叶红挑梁主演，出演女一号。,,,,,
哈洛与慕德,40000,247,3977,96,3179,剧情喜剧,暂无评分,评分人数不足,91,0,12,简介：20岁的上流社会男孩哈洛对死亡异常迷恋，喜欢伪装自杀吓唬母亲，热衷参加葬礼，甚至购买了一辆灵车。母亲习以为常，却也不堪忍受，因此催促哈洛早日成家，成熟起来。在他人的葬礼上，哈洛认识了79岁的穆德，一个与他有着相同爱好的老妇人，从此走入慕德奇妙多彩的世界。,,,,,,
双城生活,126000,191,539,32,687,剧情家庭,暂无评分,评分人数不足,已完结, 全32集,0,1,简介：徐嘉惠（涂岩松饰）是个地道的上海人，偶然机会认识了北京姑娘郝京妮（马伊俐饰）。虽然异地相恋困难重重，而且两人的恋情遭到了徐母杨曼莉（张小磊饰）的强烈反对，但二人还是无法割舍所爱的对方结束这段感情。一次为了去上海见徐嘉惠的郝京妮在路上出了车祸，这让徐嘉惠备受感动，带着户口本毅然飞往北京和她结婚。在均衡了照顾双方父母和二人工作的问题后，他们婚后开始了双城生活。可婚后的生活并不像恋爱时那般美好单纯，不仅巨大的交通费用的开销让二人觉得日渐吃力，柴米油盐的琐碎问题也接踵而来，徐家的考究细致精打细算和郝家个性直...,,,,,
铁血尖刀,236000,651,630,68,387,剧情,暂无评分,评分人数不足,已完结, 全36集,0,2,简介：讲述解放战争时期，华东野战军尖刀队在队长冯梁山领导下，深入虎穴，勇斗顽敌，出生入死的战斗故事，全剧分四单元。《黎明前枪声》讲述尖刀队为探寻国民党“南柯行动”的真相，潜入敌军总司令部，历经波折，终于破坏了敌人在逃跑前企图毁灭省城的阴谋；《阳光下的暗战》讲述我重要情报人员严金明不幸被敌人俘虏，尖刀队一路追击携我方人质逃跑的军统特务，最终，尖刀队揪出了内奸，抢救回了丢失的重要情报；《虎穴里交锋》是围绕着一份标记着秘密军火库的勘探图，尖刀队与国民党残部以及土匪三方展开了复杂的争夺战。最终将土匪和国民党残部一...,,,,,
我的“丑娘”,1343000,8368,4549,671,2956,剧情家庭,暂无评分,评分人数不足,已完结, 全26集,0,23,简介：进城务工的青年王大春（江宏恩饰）自幼痛失父爱，全靠母亲翠菊（张少华饰）辛辛苦苦将他拉扯大。但是大春心中却有着难以为人道出的痛苦，他的妈妈长相丑陋，这不仅让他倍感羞耻，还影响了自己的恋爱。因此，在和心仪女孩赵小旭（冯一非饰）相恋乃至结婚的过程中，他始终称自己父母双亡，甚至结婚典礼也不愿让母亲参加。丑娘来城寻找儿子，却不得相认。机缘巧合他遇到了某企业老总李建平（侯天来饰），最终被对方当作亲娘一般带回家中。而李的豪宅刚好和儿子的小屋相去不远。她日日遥望不远处的儿子与儿媳，然终究无法靠近……,,,,,
猫和老鼠（1975）,6005000,6343,3182000,10000,48000,搞笑少儿,9.8,861,连载中,1,195,简介：汤姆和杰瑞（现在戴了红色的领结）在世界各地参加体育比赛，他们互相恶作剧的同时也会一起帮助他人解决困难。在这个系列里，汤姆和杰瑞成为好朋友。,,,,,,
皮五传奇,384000,2258,1446,415,1642,剧情,暂无评分,评分人数不足,已完结, 全41集,0,26,简介：“皮五辣子”是一个在江淮地区家喻户晓的传奇市井人物，最早来源于乾隆时期扬州评话的传统书目《清风闸》。平民传奇大戏《皮五传奇》将以类似戏说的方式讲述了社会底层的人民同贪官恶绅斗争的故事。本剧的主人公“皮五”呈现出的将是一个机智、幽默、知善能改、嫉恶如仇的“民间智者”形象。,,,,,
狂吻俄罗斯,915000,2758,21000,785,10000,剧情爱情,9.3,116,94,0,48,简介：音乐教师大江中年失意，在与妻子离婚后，他索性下海随好友双成远赴俄罗斯做起服装生意。与老实诚恳的大江不同，双成为人浪荡狡猾，所卖商品以次充好，坑蒙拐骗无所不能。在俄罗斯人娜塔莎家做客期间，大江结识了娜塔莎的妹妹卡嘉。这个美丽清纯、热爱舞蹈的女孩深深吸引着大江的目光。,,,,,,
小老虎邦邦,4400,1,53,--,67,少儿,暂无评分,评分人数不足,已完结, 全9话,0,0,简介：本片通过小老虎邦邦为主要人物，分成现实中的邦邦和娱乐跳操节目中的邦邦，两个角色，演绎了做娱乐跳操，开心锻炼身体的领带做操的角色。,,,,,
26个秘密 ,17000,55,913,141,446,少儿,暂无评分,评分人数不足,已完结, 全26话,0,9,简介：安静的玲珑镇小学教师安丽颖声称自己看到怪物。经过调查，张斯达、杨娜和马迪发现原来怪物是湖里的水怪，它要找市长鲁一明，跟他说说湖水受到污染的事情。故事就从这第一个秘密开始。出面调查的张斯达、杨娜和马迪是三个最好的朋友。其中张斯达原本是一个周游世界的船长，因为不断地做同一个梦。于是他回到养育自己的故乡玲珑镇，找到自己童年时的朋友杨娜和马迪，并约同他们共同探寻玲...,,,,,
狐三藏,14497000,2287,4454,3552,612000,原创萌系泡面搞笑,暂无评分,评分人数不足,连载中, 不定时更新,0,8,简介：小藏狐闹闹是个贪吃、淘气的小学生，只有你想不到，没有他做不到。可是他却总是逃不出藏狐妈妈的“魔掌”，即使如此小藏狐依然没有放弃“作妖”。藏狐一家鸡飞狗跳的生活中充满了现实的谐趣。古灵精怪的藏狐少年，和“暴躁打手”妈妈、“和事佬”爸爸、“淡定哥”熊猫老师，还有闹闹的狐朋鸡友们，展开了一系列爆笑故事！,,,,,
小溪流,124000,526,9926,855,3266,动画,暂无评分,评分人数不足,22,0,39,简介：雾霭轻锁的山峦，迎来了清爽的早晨。旭日初升，太阳公公打着哈欠，放出暖人的光芒。这时有人向他问好。太阳公公低头一看，原来是穿梭在山前林间的小溪流。她欢快地穿梭在山谷的每一个角落，向森林高山问好。,,,,,,
一棵大白菜,34000,27,365,53,140,动画,暂无评分,评分人数不足,16,0,1,简介：阳光明媚的一天，小兔子提着装满胡萝卜的篮子在森林里一蹦一跳，快乐行走。她从山羊公公那里得知好朋友小花猫正在池塘边玩，于是欢欢喜喜赶了过去。两个好朋友见面分外开心，小兔约定了放下萝卜后就找小猫来玩。这期间，略显无聊的小猫四处追逐小蚱蜢，结果不慎弄坏了山羊公公的大白菜。,,,,,,
一条丝腰带,160000,552,8261,601,4142,动画,9.7,127,14,0,55,简介：拾粪老汉在田里捡到一条很漂亮的丝腰带，四顾见无人认领，便拴在了自己腰上。一照镜子，旧棉袄真刺眼，于是他从存钱罐里倒出钱币，上街买了一件顶好的缎面团花锦袍。酒馆店小二见他身穿锦袍腰系丝带，当他是有钱人赶忙上前招呼，不料一看他不相称的裤子和鞋子，立刻讥嘲起来。老汉受不了店小二的羞辱，回到家二话不说砸碎存钱罐，又去买了相配的裤子和靴子，这下，包括店小二在内的路人看他的目光均是艳羡，老汉一时得意洋洋。可是拾粪老汉这样一幅打扮，可怎么再拾粪哟！,,,,,,
黄金梦,384000,1839,24000,2616,10000,动画,9.7,210,23,0,71,简介：本美术片编剧为华君武，美术设计为徐景达。在金元王国里，每个人都有贪食症，谁的肚子吃得最大谁就是头号大王，为争到该称号，他们经常去由鸡蛋先生任主管的金元王国俱乐部饕餮一番。要进该俱乐部，体重（身体内的金元重量）须达到一定数字，而要饱吃一顿由炮筒先生和蚊子先生精心烹制的金元和血浆大餐，则必须进行一番厮杀。,,,,,,
不破不立,41009000,150000,294000,106000,394000,人文运动,9.5,3946,已完结, 全7集,10,644,简介：由腾竞体育出品、哔哩哔哩联合打造的2021年LPL官方纪录片《不破不立》，聚焦LPL战队征战2021赛季及竞争全球总决赛的奋斗之路，展露了选手、教练、俱乐部对于职业比赛的独特情感，在曲折起伏中不断向最高荣誉发起挑战的征战故事。,,,,,
阿凡提,147000,1133,5651,266,5186,喜剧,暂无评分,评分人数不足,96,0,19,简介：《阿凡提》根据新疆维吾尔族民间传说改编。主人公阿凡提以其聪明才智为劳动人民行侠仗义，打抱不平，反映了人民强烈的爱与憎。影片幽默而又有情趣。,,,,,,
熊孩子的灵魂拷问,1982000,7444,35000,5043,43000,搞笑萌系治愈泡面,暂无评分,评分人数不足,已完结, 全30话,0,9,简介："每个时代都有独特的“熊孩子”，我们的故事主角正是中国土生土长的新时代“熊孩子”们。后发先至的移动互联网技术让中国各种“型号”的“熊孩子”有了“和谐共处”与畅快互怼的时间与空间。我们的世界正在变得越来越多元与包容：年龄变得复杂，性别变得复杂，选择变得复杂......最影响熊孩子们幸福指数的三种典型情境：情商、财商、法商场景中，我们试图更有时代精神和思辨深度地抛砖引玉。经过N次“大规模试验”，我们发现原汁原味地还原生活场景中熊孩子们让人尴尬癌发作的灵魂拷问，最能激发我们的深（疯）刻（狂）反（发）思（笑）的欲望。,,,,,
流言终结者（精选版）,73048000,118000,731000,111000,1214000,科技,9.8,3330,连载中,1,588,简介：《流言终结者》是一档科普系列节目，由特效专家 Adam Savage和 Jamie Hyneman主持，他们利用自身的专业和技巧，针对各种广为流传的谣言和都市传奇进行实验，用科学的方法并融入百分之百的热情以及朴实无华而不失精巧的实验，为观众揭示了一个又一个广为流传的谣言和都市传奇背后的真相。,,,,,,
池塘王子,8163,5,228,20,90,少儿,暂无评分,评分人数不足,已完结, 全78话,0,2,简介：上天赋予青蛙一条诡异的舌头，有了这样一条舌头，它就可以举止优雅地，毫不费力地成功拦截经过身边的苍蝇、蜻蜓等各种飞虫，它就是池塘这个天堂里的王子，但王子也有自己诸多的烦恼。,,,,,
番茄姐弟,2520,--,53,2,53,少儿,暂无评分,评分人数不足,已完结, 全26话,0,0,简介：这个故事系列讲述了一对可爱的龙凤胎姐弟：具有非凡能力的天安和天佑，勇斗卡普以及他忠实的走狗，保卫幸福镇的故事。姐姐天安比弟弟天佑早出生一分三十秒，虽然他们具有超人的能力，但仍逃不掉常规7岁孩子应做的事情，比如：做功课、叠被子、打扫房间等等……姐弟俩超级魔力的得来纯属偶然。,,,,,
乐园双宝,2486,2,71,5,59,少儿,暂无评分,评分人数不足,已完结, 全26话,0,0,简介：在一个炎热的夏日里，大家都在拉平湖里嬉戏玩耍，康康和皮皮踢坏了宾宾的沙堡，正当得意之时，却被游游和非非弄得浑身是水，受到众人取笑。气急败坏之下，他切断拉平湖的水源。非非和嗡嗡齐心协力，用聪明才智使康康落得个自作自受的下场。,,,,,
喵喵遇见汪 第一季,2680,--,114,4,58,少儿,暂无评分,评分人数不足,已完结, 全26话,0,0,简介：《喵喵遇见汪》选用更加贴近孩子们的阐述方式与思维方式来呈现，故事以单元剧的形式展开，主要讲述了小猫兄妹花生、露露与他们的朋友小狗奔奔、小巴、阿福、兔子发明家兔小迪以及其他伙伴之间发生的奇趣冒险故事。,,,,,
喵喵遇见汪  第三季,7329,1,114,2,259,少儿,暂无评分,评分人数不足,已完结, 全51话,0,0,简介：《喵喵遇见汪》选用更加贴近孩子们的阐述方式与思维方式来呈现，故事以单元剧的形式展开，主要讲述了小猫兄妹花生、露露与他们的朋友小狗奔奔、小巴、阿福、兔子发明家兔小迪以及其他伙伴之间发生的奇趣冒险故事。,,,,,
大卫·爱登堡的全球大冒险,163000,748,7661,615,4066,自然,暂无评分,评分人数不足,连载中,0,17,简介：《大卫·爱登堡的全球大冒险》是一部鼓舞人心的纪录片。跟随爱登堡，进入四个不可思议的自然世界：海洋世界、岛屿世界、天空世界和过去的世界，大卫邀请观众一起探寻这个星球上最惊人的景观：从大堡礁到婆罗洲的热带雨林，从自然界的瑰宝加拉帕戈斯群岛，到自然历史博物馆，每个旅程都令人惊叹。,,,,,,
人生第二次,48866000,253000,1196000,458000,1012000,人文社会,9.9,4644,已完结, 全8集,15,767,简介：《人生第一次》主人公们满怀憧憬准备推开生活之门的状态，《人生第二次》的主人公们经历的正是推开门后，知晓世界百味、直面生活疾风暴雨的决定性阶段。主创团队改变了遵循“人生时钟”的纵向叙事，精选四组对立的关键词展开横向比照，通过“圆”与“缺”、“纳”与“拒”、“是”与“非”、“破”与“立”主题下的八幅人生图景，用多维度多视角观察普通人在面临决定性瞬间时的选择与命运。通过洞察每个独一无二的“人生第二次”故事，展现中国人面对困境的勇气和坚韧，激发观众对生活的勇气，对于人生和未来的多一重思考。,,,,,
舞台上的中国,11191000,7408,86000,23000,318000,人文,9.3,232,已完结, 全4集,0,54,简介：节目聚焦音乐、舞蹈、器乐与戏剧等中国传统舞台艺术，感受“文化走出去”的国家战略带动下，在当今文化软实力日益增长的社会语境下，传统艺术是如何持续发挥其独特魅力的。我们将同时通过艺术名家与千禧一代年轻观众的视角，来探究中国传统舞台艺术是如何与当代表演形式与内容有机结合，并重新焕发出不竭的生命力。,,,,,
未来漫游指南,112000,159,32000,482,3450,科技宇宙社会,暂无评分,评分人数不足,,0,12,简介：科幻作品的迷人之处，在于借助作者奇幻的想象力，让读者与观众以科学假说为前提，去重新审视我们的过去、现在与未来，并对现实进行思想实验。而本部系列纪录片则会带我们惊喜地发现，原来科幻作品中最脑洞大开的情节，也已经悄然在研究与实践中，我们在科幻作品中窥见的，可能就是我们的未来。《未来漫游指南》由B站出品，BBC Science Unit承制，3集×50分钟的科幻×天文科普纪录片。由刘慈欣作为线索人物与讲述人，与全球最前沿科研领域代表人物，一同探索刘慈欣科幻作品中提及的情节、科技与假想，是如何正在我们身边发生的。,,,,,,
决胜荒野 3,87000,43,2555000,538,5979,探险,暂无评分,评分人数不足,连载中,0,20,简介： 《决胜荒野》是一档野外生存竞技纪实节目，不仅展示了生存专家们面对险境时的求生技能，也体现他们不畏困难、敬畏自然、勇于应对挑战的探险家精神。本季节目的竞赛场景主要集中在中国、苏格兰、印尼、肯尼亚等地。这些地区以多样的地理环境、独特的自然资源而闻名。我们的生存专家们所到之处风景壮丽但又处处暗含危机。究竟谁才是野外生存领域的王者，让我们拭目以待！,,,,,,
