电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,,,,,,,,,,,,,
青蛙王子,136000,2121,4059,196,847,喜剧爱情,暂无评分,评分人数不足,92,0,11,简介：生活在夏威夷的富家子陈立品（钟镇涛 饰）个性腼腆，情场始终不得意，于是请来香港的老朋友罗旦多（陈百祥 饰）实地指导。二人在海滩偶遇美女小猫（张曼玉 饰）、阿美（钟楚红 饰），试图搭话却铩羽而归。陈父令陈立品赴港调查下属公司账目，不料陈、罗二人发现小猫和阿美正是陈氏企业职员，陈立品为了查账和接近阿美，与罗旦多互换身份。罗旦多得以接近经理秘书小猫，并与贪污的经理陈皮后（曹查理 饰）虚与委蛇。另一方面陈立品以司机的身份渐渐获得了阿美的信任跟欣赏。担心贪污事发的陈皮后请来爱情女骗子袁飘飘（关之琳 饰），委托她骗取...,,,,,,,,,,,,,
梦想改造家 第六季,42638000,398000,1063000,111000,173000,真人秀,9.5,5980,已完结, 全13集,7,1907,简介：《梦想改造家》是东方卫视打造的一档大型装修真人秀节目。节目大胆突破了以色彩和软装为主的传统装修形式，革命性的聚焦在空间改变和功能实现上，狭小的空间，奇葩的房型，看似无法解决的居住困难，都由顶尖设计师在有限的资金，有限的空间里根据委托人的特殊需求进行彻底的改造，真正解决委托家庭的住房难题。它通过聚焦全国范围内不同地域特色的建筑物，不同类型和背景的家庭故事，揭示家给予人的意义，见证家装改造给予人的幸福。,,,,,,,,,,,,
聪明的顺溜,2831000,17000,46000,4474,11000,原创热血少儿励志,9.3,363,已完结, 全52话,0,139,简介：动漫电视剧《聪明的顺溜》以强国梦、强军梦为大的时代背景，以部队军事斗争准备生动实践和基层火热生活为基本素材，通过描述“顺溜”和他的战友们这些新生代士兵在训练演习、工作生活中，用机智克服困难、用妙招帮助战友、用勇气完成任务的一系列生动鲜活的小故事，通过小士兵的大智慧，充分展现当代青年官兵的崭新风貌和高尚追求，充分展示新时期军人苦练精兵谋打赢的昂扬斗志，极具鲜明时代特色和军营特色。,,,,,,,,,,,,
新飞狐外传,126000,1870,1908,154,5185,剧情动作,暂无评分,评分人数不足,90,0,3,简介：清乾隆年间，江湖并称“南刀北剑”的胡一刀和苗人凤（万梓良 饰）相遇比武。这二人武功高超，侠义双全，虽为对手，但是惺惺相惜。其间胡夫人产下一子，赐名胡斐。胡一刀为防不测，特将妻儿托付给苗人凤。在最后一日的比试中，胡一刀为苗的旭日剑所伤，竟当场毒发身亡。胡家仆从平阿四见情形不好，怀揣秘籍和胡斐躲过田归农追杀，隐居深山。苗人凤则心怀愧悔，将旭日刀和半月剑埋进胡一刀夫妇的墓中，发誓封刀十年。岁月流转，胡斐已成长为一名英姿飒爽、武功高强的少年英雄（黄日华 饰），他偶然遇见被苗人凤追杀的苗归农和阿兰，遂勾起为父报...,,,,,,,,,,,,,
黄飞鸿义取丁财炮,45000,64,906,22,219,剧情冒险,暂无评分,评分人数不足,93,0,2,简介：黄飞鸿的侠义事迹曾多次被搬上银幕，本片由资深导演王风执导，史仲田饰黄飞鸿、石坚饰申九蚣，配搭新鲜。故事讲述，黄飞鸿（史仲田）是清末民初名震岭南的着名拳师，平素以行侠仗义、排解纠纷为己任；除了设馆授徒之外，并医治跌打济世，在武林中极有声望。某天正值黄飞鸿宝芝林药局新张吉庆，德记?栏主人周立德（井淼）前来道贺，并希望黄飞鸿能够帮助他在来年观音诞时抢得丁财炮……,,,,,,,,,,,,,
七次机会,279000,2644,24000,1029,3324,喜剧爱情动作,9.7,180,56,0,65,简介：讲述商人吉姆面临经济危机，幸好去世的祖父留下巨额财产给他，但条件是他必须在27岁生日晚上七点前结婚，结果引来全城妇女的求婚......,,,,,,,,,,,,,
三闯少林,92000,1682,2391,149,648,动作,暂无评分,评分人数不足,86,0,10,简介：四大家族之一的金虎堡堡主在一次押镖途中，被四名蒙面和尚劫杀。叶青花（刘玉璞 饰）被怀疑与此案有关，游侠雷迅（尔冬陞 饰）助友洗脱嫌疑，竟卷入奇案，三闯少林，找出四名和尚。导演唐佳和编剧设计的「大刀阵」、「十二金刚阵」绞尽脑汁，最后一个「板凳阵」更叫人拍案叫绝，叁阵已成电影经典。雷迅找出四名和尚，当众伏法，以为真相大白；岂料，四名和尚又到处杀人，雷迅才知道被人利用，引发连场打斗。唐佳起用六大武指同场度招，动作的速度与难度奇高，令人叹为观止。,,,,,,,,,,,,,
女校春色,44000,164,1051,33,144,喜剧爱情,暂无评分,评分人数不足,108,0,4,简介：化学教师陈子风（陈厚）在一间保守的女校任教，与青梅竹马的李海伦（李菁）共事。陈在医务所拾得弃婴，后把弃婴带到学校照顾，却被学生谣传婴孩乃陈与李之私生子。陈不但轻松面对，还将朝气带入校园，大受学生欢迎，李亦渐渐爱上陈。但保守派对陈之作风不满，侍机铲除陈……,,,,,,,,,,,,,
郑义门,82000,669,1787,160,364,日常历史古风原创,暂无评分,评分人数不足,已完结, 全12话,0,20,简介：动画片《郑义门》以家长郑濂的故事为主线，以家规为核心元素，15个生动的故事系统地展示了郑氏家族的重大活动和郑氏家规的主要内容，讲述了《郑氏规范》如何融道德修养、行为规范、生产管理、生活学习等制度及奖惩措施为一体，如何成为历史上最能够切实履行的家庭管理规范。同时，也寓教于乐的展现“孝、义、廉”对于修身、治家、治国的正面影响，深刻体现家风和规矩的时代意义，潜移默化地弘扬中国传统文化。,,,,,,,,,,,,
地道战之英雄出少年,1348000,1562,12000,452,2011,原创历史智斗热血,3.2,385,已完结, 全15话,1,149,简介：动画片《地道战之英雄出少年》围绕经典作品《地道战》进行再创作，以孩子的角度切入，塑造出能走进当代小朋友们心中的“抗日英雄”形象，传承爱国主义精神。高小铁的爹为了掩护村民被日本侵略者杀害，高小铁要给爹报仇却屡次遭到大家的阻拦，他无法理解——躲藏在地道里也是一种战术。在武工队队长马玉海的教导下，他逐渐明白论持久战的重要意义，明白了“轰轰烈烈的对战是英雄，不让鬼子安生也是英雄”。最终，高小铁与臭娃、妞妞以及小狗来福几个小伙伴一起发挥聪明才智，协助武工队及民兵们利用地道打败了山本为首的鬼子，取得了胜利。,,,,,,,,,,,,
独唱,14000,57,551,13,36,剧情,暂无评分,评分人数不足,97,0,1,简介：该片讲述芙拉维亚是一个脆弱没有安全感的女人。她有两段失败的婚姻、两个儿子和一只借来的狗，她总是渴望得到周围的人的认可和喜爱。在一些意外事故和惊奇的发现之间，芙拉维亚认识到没有女人是完美的，而自尊和自由则一直都在那里，触手可及。,,,,,,,,,,,,,
壁虎,29000,140,450,30,93,动作奇幻,暂无评分,评分人数不足,100,0,1,简介：陈宝珠告别影坛前最后一部片。在六十年代末，楚原也曾为宝珠拍摄一系列的时装侠盗奇情片，本片亦沿用这格局，但时代转为民初，主角也由宝珠变成岳华，像是《大醉侠》角色的变奏。在众人面他前是个傻戆口吃的警局包打听，实则是神出鬼没、劫富济贫的大盗「壁虎」；宝珠是他的红颜知己和拍档。其中不乏宴会盗宝的惊险热闹，糊涂干探的搞笑，和最后侠盗与反派高手罗烈的生死决战。数码修复版。,,,,,,,,,,,,,
没有老公的日子,252000,875,3862,137,3189,剧情,暂无评分,评分人数不足,97,0,8,简介：艾利克斯（张智霖 饰）从小和母亲（叶德娴 饰）相依为命，母亲辛辛苦苦的抚养他长大，最终将艾利克斯培养成为了一名出色的广告制作人，对于儿子的成就，母亲倍感自豪。成年后，艾利克斯娶了名为蓝晓彤（袁咏仪 饰）的妇产科医生，恩爱的两人婚后生活十分幸福。然而，灾难还是降临了，艾利克斯在意外中受伤，生命垂危，临死之前，艾利克斯终于向蓝晓彤坦白了内心里深藏多年的秘密，原来，他有一个秘密情人小黑（何超仪 饰），并且，小黑的腹中已经怀上了自己的骨肉。艾利克斯希望母亲和妻子能够接纳小黑及其腹中的孩子，这让震惊的蓝晓彤陷入了...,,,,,,,,,,,,,
圣诞小屋,14000,86,933,20,69,喜剧家庭,暂无评分,评分人数不足,86,0,3,简介：玛丽托宾在圣诞小屋里有关于家人相聚非常美好的回忆。当一次周末假期的日子，她重新回到小屋，玛丽很快意识到小屋已经严重失修。虽然缺少资金和时间，玛丽不仅重新修好了小屋，还为自己找到了爱情。,,,,,,,,,,,,,
徐老虎与白寡妇,32000,24,499,17,79,动作,暂无评分,评分人数不足,86,0,1,简介：清朝光绪年间，走私食盐集团首脑徐老虎(刘永)与白寡妇(恬妮)，因清官李振彪（白彪）拒不受贿，同时两江总督又责令严缉私盐，徐老虎和白寡妇二人都面临被捕危险。白寡妇为免同僚落网，遂私自前往官府与李振彪协议自己投案，李振彪念及曾与徐老虎及白寡妇亡夫结义，遂允白寡妇之要求。白寡妇被判处绞刑，李振彪为了避免总督介入此案，进而节外生枝，遂派人送毒药给白寡妇。徐老虎惊悉白寡妇独力承担罪责更被判处死刑，复仇行动随即展开……,,,,,,,,,,,,,
少林与武当,45000,621,860,57,211,剧情动作,暂无评分,评分人数不足,101,0,4,简介：清朝年间，少林与武当都拥有极多高手。少林以反清复明为志，武当派则甘作满清鹰犬，因而两派处于敌对局面。旗人青年童千斤（罗莽），因自幼是孤儿，遭受同族欺侮，故对族人怀恨极深，投身少林寺习武。他联络同门师兄弟胡惠乾（江生）等进行反清复明工作。武当派高手为了对付少林弟子，亦派出门下弟子分批下山，与童相遇掀起一场又一场的打斗……,,,,,,,,,,,,,
圣诞奇迹,26000,14,412,19,44,剧情家庭,暂无评分,评分人数不足,92,0,0,简介：由于路段被堵，八个陌生人被迫在风暴天聚集至一个废弃的教堂里。他们渐渐学会了齐心协力，排除万难。,,,,,,,,,,,,,
圣诞变身,12000,10,238,13,132,家庭,暂无评分,评分人数不足,97,0,0,简介：艾迪班尼特是个在纽约混迹了15年，说话很快的街头蒙特卡骗子。他和他的朋友们掌握了各宗骗局，直到有一天，一位神秘男子造访，给了艾迪一个不同寻常的建议。他会给艾迪一个机会，让他可以为他所做的一切坏事做一个永恒的救赎。条件很简单，他必须将他的思想转移到另一个人身上三个礼拜的时间。这样的话，年迈多病的山姆就可以用艾迪的身体再多当一年圣诞老人。,,,,,,,,,,,,,
圣诞婚礼,19000,100,629,14,50,喜剧爱情,暂无评分,评分人数不足,83,0,2,简介：因为被高强度的工作辞退，瑞贝卡准备回家看她的妈妈雪莉，并出席她朋友在圣诞节前夜的小镇婚礼。先开始，她认为这一定是个糟糕的错误，尤其她和前男友，查德，拙劣的对话。但瑞贝卡很快意识到，其实你可以一次又一次的回家，直到你把生活回归到正轨上。,,,,,,,,,,,,,
遥不可及,26000,46,658,15,56,剧情,暂无评分,评分人数不足,89,0,1,简介：自从心脏病发作过后，马修致力于寻找生活的真谛。在看起来像是遇见了顾问和生活教练黛安后, 马修开始改变他的方式。当然，这些变化都没有逃过他的妻子林恩的注意。然而，当她得知马修已经将他的广告代理公司的一半转向他的那帮新朋友时，琳意识到她的丈夫已经完全落他们的影响，他将毫不怀疑的去做任何他们说的事。为了试着挽回她的丈夫，她决定带马修和他们的女儿佩奇去海滩度假。但当黛安没打招呼就出现，琳恩发现这将是真正的斗争，她要为了她的家庭，在为时已晚之前切绝她和她家人的一切联系。,,,,,,,,,,,,
夕阳恋人,16000,45,250,8,29,爱情歌舞,暂无评分,评分人数不足,94,0,1,简介：修车技工陈仲达（秦沛）偶然下邂逅车衣女工黄小萍（井莉），因误会终至不欢而散。后见陈在雨中苦候自己，好感渐生。原来黄是孤儿，容易触景伤情，而陈虽自称也是孤儿，实为太子爷。当黄悉破陈的身份后，深感受骗；黄酒醉后遇上色狼，逃走时不幸被车撞倒。黄昏迷中听到陈的真心剖白，但她脑海浮现的却是向下沉的夕阳……,,,,,,,,,,,,,
爱的世界,61000,377,2070,114,2620,剧情,暂无评分,评分人数不足,75,0,8,简介：妻子（李思琪 饰）去世之后，抚养两个孩子的巨大责任落到了李子良（刘松仁 饰）的肩上，为了替妻子治病，家中早已负债累累，再也无法继续生活的李子良最终走上了借高利贷的不归路。等待他的结局只有一个，那就是利息不断的增加，最终无法偿还，与此同时，李子良和两个儿子之间的关系也越来越差。外公（刘兆铭 饰）从外地赶来，得知了家中所发生的一切，他毅然决定帮助李子良还债。然而，高利贷公司并没有就此放过李子良，反而变本加厉，将他的同事所欠的债务也强加到了他的头上。李子良决定带着两个孩子远走高飞，没想到大儿子（黄坤玄 饰）为...,,,,,,,,,,,,,
人间有味,1365000,1694,61000,1728,19000,美食人文,暂无评分,评分人数不足,连载中, 每日18:00更新,0,26,简介：《人间有味》是由央视网与海峡卫视联合出品的两岸至味暖心纪录片，全篇共30集，“每集一味”。该片以美食为切入点，聚焦福建和台湾两岸人与食物共同的情愫联系，从30种至味手艺切入，呈现30段人生历程，分享他们的美味心得以及所“烹制”出的美好生活。该片呈现了两岸共同的情味，让世界品到立体、生动、鲜活的中国味道。,,,,,,,,,,,,
生命的起源,1611000,8270,118000,5365,19000,自然科技,9.9,210,已完结, 全3集,0,48,简介：世界著名自然历史节目主持人大卫·爱登堡爵士和获得无数奖项的大西洋制作公司合作进行了此次时间之旅，周游世界，试图发现最早的动物如何在我们的星球上出现。·爱登堡与致力于寻找化石的专家会面，并实地参观了一些最为著名的发现现场，在这些地方的发现改变了人类对最初生命形态的理解，包括最早的眼睛，牙齿，最早的食肉动物，和最早的寄生虫。爱登堡使用电脑生成图像将6亿年前这些怪异的原始生物呈现在我们面前。《爱登堡之旅》（55分钟）在完成对生命起源追踪的同时，也使我们对爱登堡有了深刻的了解。,,,,,,,,,,,,
人工智能进入现实世界,139000,1323,6555,279,2495,科技,暂无评分,评分人数不足,已完结，共1集,0,4,简介：近年来,人工智能已相继战胜了国际象棋和围棋领域的顶尖高手。如今,日本将棋的棋士们将以人类的名义,发起捍卫之战。在出乎意料的激烈战况中,棋士落败的同时,也为我们带来了未来世界的匆匆一瞥。人工智能在将棋领域的成就将是其他领域的缩影,它势必影响到以后社会的方方面面,为人类带来各种便捷,也同时伴随着种种隐患。例如出租车行业,人工智能既可以预测乘客的分布位置,增加司机的载客量,也终有一天可能彻底取代人类司机。然而唯一确定的是,谁都不能阻止时代的洪流。那就请抓紧脚步,跟上人工智能的新时代吧。
英国年度之树,24000,75,3086,88,1725,人文自然,暂无评分,评分人数不足,已完结，共1集,0,1,简介：英国人爱树至深，如今，他们正票选出四大区最受欢迎的年度之树。入围的有：极具亲和力的叮咚树；独树一帜的布里蒙橡树；宛如比萨斜塔般的霍尔姆橡树；还有摄影师的宠儿——峡口梧桐。最终获胜的是布里蒙橡树，除了它们出类拔萃的外表，其中蕴含的深邃古韵更是令人为之倾倒。任何人都应该明白，我们的生活因为树木而更美好，它们不仅仅是保护环境的超级英雄，还深深地植根于我们的文化中，它们还是许多野生动物的家园，我们必须照顾他们，保护他们，不把他们视为理所当然的存在。让我们跟随奥汉隆带领我们一睹英国古树之芳华。,,,,,,,,,,,,,
武士城堡,74000,669,3828,225,2049,人文科技,暂无评分,评分人数不足,已完结，共1集,0,2,简介：熊本城这一日本的文化瑰宝，自古以来经历了数次地震，幸存至今。而今，它的部分石墙在熊本的地震中轰然倒塌。为了保存这一文化遗迹，专家们动用浑身解数，去研究熊本的城墙结构，试图在不运用现代技术破坏它原有美感和结构的同时，让熊本城变得更加抗震。在这过程中，专家们取得了惊人的发现。没想到，古人竟然已经在熊本城的石墙上运用了各种抗震的技艺，并且其中之一竟称为了如今熊本城倒塌的帮凶。面对这一现实，专家无奈地发现完全摒弃现代技术去修复熊本城近乎没有可能...,,,,,,,,,,,,,
猫的秘密生活,2144000,11000,130000,14000,22000,萌宠自然,9.7,701,已完结，共1集,2,189,简介：毫无疑问，我们人类会为自己的猫而着迷。可你是否纳闷过，为何你的猫总会四肢着地呢？它为什么会发出呼噜声？当它离开猫洞后，会去哪里呢？《猫的秘密生活》使用了最先进的博物学拍摄技术，追随一只初生小猫逐渐成长为灵敏的运动健将的不可思议的故事。影片还展现了猫对其主人带来的重要的情感影响，记录了一些惊人的猫改变人类生活的故事。这是一部迷人的影片，以一种透彻而富有启迪的视角，展现了我们最亲密的猫科动物伙伴的世界,,,,,,,,,,,,,
食通街 第五季,2839000,9973,160000,25000,13000,美食,9.4,129,已完结, 全26集,0,34,简介：美食专家詹姆斯·坎宁安将目光聚焦于大街小巷的至臻美食，带领观众们体验美国最亲民也是最地道的民间小吃。无论是鸡肉汉堡，火腿三文治等周遭随处可见的经典传统，还是天马行空光怪陆离的樱桃可乐羊肉串等堪称黑暗料理，令人拍案叫绝的精妙创造，詹姆斯都能替你寻觅到，并深入厨师的背景故事，体会他们开店的艰辛不易与对事物满怀的热爱，从而对屏幕中那一方热气腾腾，芳香四溢，令人食指大动的视觉盛宴得到了升华。恰如节目所言，一切美味，尽在食通街！,,,,,,,,,,,,
大师,1770000,8439,112000,4479,13000,人文历史,9.7,173,已完结, 全43集,0,25,简介：曾任清华大学校长的梅贻琦有句经典名言：“所谓大学者，非谓有大楼之谓也，有大师之谓也。”从只有中学毕业的梁漱溟被聘为北大教授，成了”最后一个大儒”，到花样年华名震文坛，与初恋擦肩而过的丁玲；从寒门学子立志攻坚，共赴国难连遭凶险，修桥炸桥再重建的浙大校长茅以升，到半个世纪守望挚爱的徐悲鸿，从“不老的三毛”到卷上留白的李可染；从千古梁祝一朝成曲的天才作曲家陈钢，再到危难显身手，唯有信念不灭的记者范长江……他们学贯中西，成就卓著，风格独特，冰清玉洁，成为那个时代的思想标杆与历史书签。,,,,,,,,,,,,
灌篮之王,719000,13000,27000,2268,7087,人文运动,暂无评分,评分人数不足,已完结, 全4集,0,21,简介：特纳电视网推出的《灌篮之王》节目，汇聚了全球最顶级的民间扣将，包括奥尼尔和巴克利在内的名嘴作为评委，以类似达人秀的形式进行展示灌篮，从默默无名化身扣篮之王，还可获得十万美元大奖，其中身高仅1米65的波特·马贝里打破了人们对小个子的刻板印象，各路高手使出浑身解数，创意新颖，只为争夺灌篮之王的宝座。,,,,,,,,,,,,
舞台春秋,346000,6617,30000,2382,3675,剧情喜剧,9.8,462,136,0,138,简介：卡维罗曾是个受人尊重的喜剧演员，现在变成了一个酒鬼。一日，他回到公寓时，偶然发现隔壁的女孩塞瑞拉躺在床上，企图开煤气自杀——原来，塞瑞拉是个芭蕾舞演员，因为患了腿疾而要告别舞蹈了。善良的卡维罗悉心照顾她，试图用自己的幽默细胞打消卡维罗的自杀念头......,,,,,,,,,,,,,
珍宝解密 第四季,366000,3841,49000,527,1693,历史人文,暂无评分,评分人数不足,已完结, 全8集,0,6,简介：过去的遗物隐藏着秘密，刻在黄金、石器和鲜血之上，我们可以解锁，这是历史最伟大宝藏的秘密。一座和到来同样突然地消失的古城发生了什么？一张耶稣时代的藏宝图，有60个藏宝处，它们在哪儿？培尔-拉美西斯，消失在历史中的城市，神秘的命运终于被揭开。年轻国王图坦卡蒙的墓穴带着吸引了全世界想象力的黄金宝藏，然而墓穴满是阻碍学者们的谜团。基督教的终极遗物无缘无故就失踪了，我们的调查员会在古文献和掩埋的废墟中查找线索，来揭开全新的发现。希腊哲学家柏拉图记录的传说，亚特兰蒂斯，真的存在吗？,,,,,,,,,,,,
再见爱人,102000,267,875,487,9959,情感剧情,暂无评分,评分人数不足,已完结, 全26集,0,0,简介：讲述钟文基因追捕一名绑架人质案逃犯时开枪误伤人命，从而产生了心理障碍，对枪充满了恐惧，无奈之下只好辞去公职，后来应聘一大公司出任深圳某大厦保安主管。一个偶然的机会，韦玉莲闯入了他的生活，两人由斗气冤家结为夫妻，他的生活才有了欢笑。,,,,,,,,,,,,
雪浴昆仑,192000,1395,676,510,6829,剧情情感,暂无评分,评分人数不足,已完结, 全32集,0,2,简介：《雪域昆仑》是一部真实反映新疆与西藏阿里之间特殊关系的长篇电视连续剧，主要讲述的是新疆各族军民解放、守卫和建设西藏阿里的可歌可泣、感天动地的鲜为人知的故事。,,,,,,,,,,,,
天火,63000,31,497,9,146,历史战争,暂无评分,评分人数不足,已完结, 全26集,0,3,简介：《天火》由原著《石龙坝》改编而来，讲述的是，1908年滇越铁路修 到昆明，法国殖民主义者准备在昆明修建水电站，中国地方官员柳呈光和爱国人士左玉轩、沈仲达等人 与殖民主义者展开斗争，历经艰难，终于建成中国第一座水电站， 大长了中国人的志气。,,,,,,,,,,,,
追寻时间之始,51000,124,3807,198,1845,宇宙科技,暂无评分,评分人数不足,已完结，共1集,0,2,简介：这是一部基于科学家工作的前沿电影，为我们深入了解太空的奥秘揭开了全新的篇章。本片主要介绍的是，近年来，借助从地面到太空的各种高科技望远镜，科学家们开展了一系列巡天计划，来捕捉宇宙中大片区域的光线，然后将所捕获的大量宇宙数据导入超级计算机模型，通过模拟，将暗物质、暗能量，以及宇宙演化等转化成可观测的数据，从而让我们有机会探索影响宇宙形成的力量，并推演与之相关的诸多重大事件。最终让我们得以有机会得以了解类似银河系这类星系的起源，并进一步追溯到时间的起点，来探寻整个宇宙起源的奥秘。,,,,,,,,,,,,,
战争中的女性：回家,108000,239,40000,71,1648,人文军事,暂无评分,评分人数不足,已完结，共1集,0,2,简介：在海外服役的美军中，大约共有两万三千名女兵。从本世纪初的阿富汗和伊拉克战争爆发以来，她们有的不幸沦为战俘，有的受伤，阵亡的也有五十多名。战争中的女兵所要承受的艰难，远远超过男军人，尤其是那些家有孩子的母亲。虽然通常的服现役时间均在一年左右，但在这一年多时间里，没有了妻子和母亲的家庭会因此而受到严重的影响。在这一集纪录片里，四位即将结束服役期的女兵分别讲述了回家前后各自的生活和感想，以及她们的家人对妻子服役所发表的评论，影片中不乏感人肺腑之场景，是一部温馨的家庭纪录片。,,,,,,,,,,,,,
被大海吞没的繁荣城市,214000,866,9985,551,1580,探险自然,暂无评分,评分人数不足,已完结，共1集,0,10,简介：希拉克莱奥，一座被世人遗忘的城市。过去几千年来，甚至找不到任何它存在过的痕迹。但从各项考古工作的研究成果来看，这座海港城市在古埃及历史上曾扮演过一个非常重要的角色。因其绝佳的地理位置——位于尼罗河河口，临近地中海——它曾是帮助埃及走向世界的经济贸易中心。也因此，它成为了一处重要的军事要塞——埃及国王招聘雇佣兵，并驻扎在希拉克莱奥，帮助守卫埃及。最令人感到震撼的是，这座海岛留下了许多关于宗教信仰、祭祀仪式的历史文物，从而让我们能回到千年之前，揭开希拉克莱奥沉入海底之前的模样。,,,,,,,,,,,,,
101道简易日料 ,2459000,20000,187000,105000,12000,美食,9.3,215,已完结, 全101集,0,57,简介：《101道简易日料》是通过101个3分钟左右的短视频，讲述了一些做日本菜的做法。其做法简单易学，食材也易获得，在日常生活中我们可以自己动手来实践。诸如，铜锣烧、天妇罗、乌冬面、豆腐春卷等经典日式料理也在其中，让我们一起走进这个系列来看看吧。,,,,,,,,,,,,
地平线：我的大脑是男是女？,293000,3118,772000,618,1839,科技医疗,暂无评分,评分人数不足,已完结，共1集,2,9,简介：几百年来，男人和女人似乎都并不完全了解对方。男孩子是不是真的更擅长数学和多元思维？女孩子的情商是不是更高？我们为什么会有不同的优势？我们为什么会受到不同的文化影响？爱丽丝·罗伯茨博士和迈克尔·莫斯利博士将通过最新的神经影像技术和行为差异研究，确定男女之间是否存在巨大的差异。如果这种巨大差异的确存在，这项研究又是否能改善男人和女人的生活呢？,,,,,,,,,,,,,
敢为人先,318000,615,6214,1082,3261,人文运动科技,暂无评分,评分人数不足,已完结，共1集,0,4,简介：在国潮崛起的今天，我们把时间再往回溯。在90年代的香港街头，李灿森被独立电影导演陈果发掘，从此踏入了演艺圈。随后几年，在潮流圈诸多明星带领下，国内潮流品牌相继涌现出来：陈冠希的Clot、李灿森的Subcrew等等；然而这一切，却是由Tabo开始。在多年后的今天，恰逢Subcrew 15周年，Subcrew主理人、知名电影艺人、潮流ICON李灿森同Frankie Cheung带你一探国潮起源。,,,,,,,,,,,,,
罗生门,1954000,29000,205000,11000,18000,剧情犯罪悬疑小说改,9.7,1651,87,27,378,简介：罗生门，日本京都的正南门。云游和尚、砍柴人和乞丐在城门底下避雨，三人闲聊，话题开始，故事的序幕拉开：一个武士和他妻子路过荒山，遭遇了不测。妻子被侮辱，而武士惨遭杀害。惨案如何酿成？凶手、妻子、借武士亡魂来做证的女巫，都各有说法。真相只得一个，但是各人提供证词的目的却各有不同。为了美化自己的道德，减轻自己的罪恶，掩饰自己的过失，人人都开始叙述一个美化自己的故事版本。荒山上的惨案，成了一团拨不开看不清的迷雾。,,,,,,,,,,,,,
璀璨薪火,7259000,29000,160000,14000,58000,人文,6.5,1345,已完结, 全10集,10,511,简介：由汐梦传媒和哔哩哔哩联合出品的纪录片《璀璨薪火》，耗时三年记录上百项中华民族珍贵的非物质文化遗产，借此让更多人去认识和理解几千年来中国人的文化内涵与独特韵味。随着现代化的进程，许多珍稀的文化遗产正在逐渐消失，《璀璨薪火》寻访上百位当代手艺匠人，无论他们来自哪里、从事哪一行，始终保持一份初心：渴望保留、传承中华民族千年来的珍贵文化遗产，渴望将自己毕生所得毫不吝啬地传授、传承。,,,,,,,,,,,,
党同伐异,441000,3624,36000,1410,4361,剧情爱情历史,9.6,150,166,1,44,简介：该片讲述了由4段相隔数千年互不相关的故事连缀而成 ：《母与法》、《基督受难》、《圣巴托洛缪大屠杀》和《巴比伦的陷落》。故事虽不相关，但反映了一个共同的主题：祈求和平，反对党同伐异。影片在影像结构、叙事结构以及镜头运动、剪辑节奏上的创新对世界电影的艺术表现手法影响极大，被认为是最早的经典影片之一。1958年，在布鲁塞尔国际博览会上，它被评为电影史上12部最佳影片之一。,,,,,,,,,,,,,
芭蕾新星,238000,1171,9845,486,3233,人文社会,暂无评分,评分人数不足,已完结, 全6集,0,3,简介：讲述了年轻的孩子们在世界最顶尖的芭蕾舞学校中，为了自己的梦想拼搏、成长的故事。,,,,,,,,,,,,
新聲,38000,90,1232,148,2924,人文医疗,暂无评分,评分人数不足,已完结, 全1集,1,9,简介：《新聲》是一部聚焦儿童听力障碍题材的纪录片。影片立足于医疗专业视角，通过真实的故事和案例，讲述了耳聋的致病原因、以及公众因为对耳聋基因缺乏认知所造成的聋童错过最佳治疗时机的客观现实。影片实地走访拍摄了多家医院耳喉鼻科、产前诊断中心、新生儿疾病筛查中心、以及基因检测机构，详实而真实记录了这些每天都发生在我们身边、却被人们忽视的真实故事,,,,,,,,,,,,
第七封印,210000,3650,23000,1889,1749,剧情奇幻,9.7,215,96,4,50,简介：中世纪，十字军骑士布洛克（马克斯·冯·西多 饰）带着侍从东征返回，在途中他遇到了黑衣死神（本特·埃切罗特 饰）。当时正值欧洲瘟疫肆虐，布洛克拖着疲惫不堪的身子，内心充满了需要时间才能解开的疑问：生命的意义何在，死的本质又是什么。布洛克决定和死神赌一盘棋，如果他输了就让死神带走自己......本片获第10届戛纳电影节评委会大奖。,,,,,,,,,,,,,
木星之谜,590000,2003,28000,1910,7899,宇宙科技,暂无评分,评分人数不足,已完结，共1集,0,26,简介：本集纪录片介绍太阳系最大的行星——木星。时至今日，尽管科学家派出的探测器收集了大量资料，我们对这颗神秘莫测的巨星仍然知之甚少。通过对比其他恒星系统，科学家发现太阳系非常独特，而木星很可能便是原因之一。除了它对太阳系的重要影响，木星本身也非常壮美神秘，快来一探究竟吧！,,,,,,,,,,,,,
英国最大战舰,658000,8162,19000,922,5631,科技军事,暂无评分,评分人数不足,已完结, 全3集,1,17,简介：蓄势待发,,,,,,,,,,,,
