电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,,,,,,,,,,,,,
完整人生,24000,30,689,18,45,喜剧,暂无评分,评分人数不足,88,0,1,简介：马克·韦伯自编自导自演，以真实的生活事件作为基础，以写实的超现实风格来进行拍摄。作为创作者和演员，演出了一部模糊了现实纪录片与虚构故事的电影。本片讲述了马克的故事，马克是一个刚刚出狱的帮派分子，无处可去的他只能选择回到位于费城的母亲家中。家里除了母亲之外，还有一个患有阿斯伯格综合症的十几岁弟弟，这种自闭症让人变得沉浸于自己的世界，难于外界交流。马克试图重建自己的生活，要与过去的种种斗争，也让他和激进主义的母亲关系紧张，更让他无法与弟弟进行更好的沟通。而抛妻弃子的父亲，却总在内心深处影响着他，使他往一个...,,,,,,,,,,,,,
天使出更,89000,613,1977,92,3007,喜剧,暂无评分,评分人数不足,86,0,7,简介：圣幕伦私人医院有着几位做事颠倒的英联邦实习医生，罗保罗、福克兰、金子文（文隽 饰）和李雨文（张坚庭 饰）在主治陈医生（陈友 饰）治下整日无心救人。医务署接到病人投诉，前往圣幕伦调查医师水平与硬件设施，院长想出对策，令护士长谷琳达（林建明 饰）主持整改。谷琳达随即召入大批新护士，方小敏等姑娘如愿进入了护士岗位。深谙实习医生手段的谷琳达又召入一名男护士阿旦（郑丹瑞 饰），以便时时保护护士不受实习医生们的骚扰。可罗保罗等人怎肯善罢甘休？一群年轻人在医院内外闹出连场笑话。与此同时，奇怪的病人、医护之间的恶作剧充斥...,,,,,,,,,,,,,
如出一辙,11000,19,413,12,26,家庭,暂无评分,评分人数不足,102,0,0,简介：罗莎快40岁了。她的父母离异。而她和而自己的家人住在圣保罗市中心的一座公寓。她的丈夫长年在外出差做研究，所以只有靠她自己来维持家庭并照顾自己的两个女儿。出了从事本职剧作家以外，她还给卫浴陶瓷公司写广告策划。她不仅要处理各种各样的委托问题，还要来照顾虚弱的父亲以及面对日益剧增的挑战。当罗莎的母亲有一天像她透露了一个惊人的秘密之后，她决定不再履行自己的责任。,,,,,,,,,,,,,
鬼屋丽人,99000,1516,1045,61,2574,恐怖奇幻,暂无评分,评分人数不足,82,0,5,简介：本片根据《聊斋》中之〈书痴〉改编。书呆子郎玉柱被叔叔郎中元欺负，被迫搬进了传说中常闹恶鬼的「孝廉府」，遇上了颜如玉母女，颜母因伤重毙命，玉柱与如玉日久生情，终结成夫妇。郎中元不信玉柱如此幸运，与友史良金往「孝廉府」查察，良金见如玉美艳动人，竟拐走如玉，将其迷姦。良金妻妾，因妒成恨，以孔雀胆毒害如玉，如玉化成厉鬼，将中元、良金等人杀毙报仇。玉柱因如玉已不在人世，不禁一阵辛酸，只有无尽的寂寞与怀念。,,,,,,,,,,,,,
自然大事记特辑,47000,266,1792,235,1517,自然动物,暂无评分,评分人数不足,已完结, 全6集,0,2,简介：自然的伟大力量。见证地球上最壮观的自然事件，记录野生动物背后的奇妙故事。该系列结合了《行星地球》史诗般的拍摄方法，并加入野外生存日记中所记录的情感、亲密行为，描绘出全球气候现象的影响。气候的变化不仅改变了整个地球景观、还改变了成千上万的动物，并决定了它们命运。每集都选定在世界上不同的地区——从奥卡万戈三角洲的大洪水到太平洋激增的浮游生物，从印度季风年到由于北极冰层融化所引发的生存竞赛。自然的巨大力量往往始于千里之外，却带来了一系列的连锁反应，并最终在野生生物之间形成了壮观的事件。,,,,,,,,,,,,
雄心勃勃 垃圾一坨,1847000,13000,996000,3668,7651,人文科技探险,9.9,464,已完结, 全8集,0,84,简介：Top Gear，是由BBC出品的一档汽车娱乐节目，自2002年改版推出，至今已经26季。脑回路清奇的创意、疯狂在燃烧的经费、堪比好莱坞的制作，它被称为全世界最好的汽车秀。,,,,,,,,,,,,
世间路,426000,1110,1165,317,2118,剧情,暂无评分,评分人数不足,已完结, 全33集,0,7,简介：方再添(检场饰)娶姨太太林桂枝(李芳雯饰)进门的那一天，大老婆江秋云(陈美凤饰)毅然签下离婚协议书，离开了方家. 离开方家的秋云顿感前途茫茫，一时失足掉落河里，被小学教师廖国辉(张晨光饰)所救，国辉把秋云送医治疗，在医生的诊断之下，秋云才知道自己已经怀有一个月的身孕。国辉安排秋云在他宿舍对面一间屋子住了下来，秋云与国辉夫妇感情很好，秋云生下儿子灿堂(江宏恩饰)之后不久，国辉的妻子秀华(刘玉婷饰)也生下一女静玉，秀华不幸难产身亡，临终之前将女儿托付给秋云照顾。时间过得飞快，升上小学六年级的灿堂是国辉班上的学生，同班...,,,,,,,,,,,,
汶川儿女,101000,132,646,495,1645,剧情情感,暂无评分,评分人数不足,已完结, 全22集,0,0,简介：《汶川儿女》全部场景均在汶川县城、七盘沟、映秀、水磨、绵虒、萝卜寨、三江等地实景拍摄，以组建灾区“母亲之家”、破碎家庭重组、高龄妇女再生育、新生命诞生为故事主线，塑造灾区基层干部银杏、县长曲大川、县委秦书记、岭南援建组组长朱支援、女教师廖家妹、干部任明、志愿者白鸽、群众牛大姐、孩子小雨和杏儿等鲜活的人物群像，表现党和国家以人为本，对灾区重建精神家园的关怀，表现灾区人民的艰韧、顽强和自强不息的精神。,,,,,,,,,,,,
像小朵一样,50000,101,197,213,10000,剧情情感,暂无评分,评分人数不足,已完结, 全32集,0,0,简介：80后单纯女孩林小朵因闺密叶本真有意设计的一场小小“阴谋”，闪电般地嫁给了暗自心仪的70后白领型男麦加仑。在此之前，两个格格不入的男女刚认识几天，而认识的地点，却是林小朵的闺蜜江顺顺的婚礼，麦加仑的表现引动了参与婚礼的许多少女的芳心，但谁也不会想到最后竟是林小朵嫁给了他。麦加仑对这个荒唐的婚姻非常排斥，但因为种种原因却无力摆脱。貌似单纯的林小朵内心却有着一股坚韧的毅力，她误以为这是第一次跟男人有“肌肤之亲”，那么麦加仑就必须对她“负责到底”。还在前一段失败的爱情中郁闷的麦加仑，就这样稀里糊涂地娶了这个他...,,,,,,,,,,,,
我的儿子,927000,164,1682,175,822,家庭,暂无评分,评分人数不足,87,1,8,简介：朱利安是个任职于跨国石油公司的地质学家，负责勘探油井和研究地质等事务。工作性质导致了他常年累月需要在国外度过，不能陪伴在妻儿身边。妻子玛丽对于这样的生活厌恶到了极点，即使两人并没有非常激烈的矛盾冲突，心灵的距离也开始渐行渐远。夫妻二人决定协议离婚，儿子马泰斯跟妻子生活。在朱利安一次回国的当天，接到了玛丽的电话，儿子马泰斯在夏令营失踪了。焦急的朱利安从前妻的现任丈夫那里得知，儿子可能是离家出走了，因为玛丽又怀孕了，他得不到应有的关注。但是朱利安的直觉告诉自己，儿子不可能出走，警察说很有可能是遭遇了绑架...,,,,,,,,,,,,,
南少林与北少林,174000,2535,2726,260,5691,动作,暂无评分,评分人数不足,98,0,22,简介：满清入主中原后，有讳于汉族民众以武术造反，严禁民间习武。少林本也应列禁例之内，但有鉴于寺中弟子皆武艺高强，清廷于是命少林选派弟子，教授八旗官兵武艺。然而有一将军（王龙威饰）深觉少林终乃清廷心腹大患，又不满于其隐匿寺中武僧，仅指派俗家弟子前往授艺，终生挑拨南北少林两家，另双方自相残杀以剿少林之念。,,,,,,,,,,,,,
霹雳靖玄录下阕（普通话）,197000,26000,82000,2194,2813,布袋戏热血奇幻战斗,暂无评分,评分人数不足,已完结, 全28话,无,无,简介：乱世皇麟异域灾，焚夜悲歌天祭开。侠影纷纷靖玄祸，恒山终见谪仙来。皇祸再起，逆世双鳞重磅袭卷南域，焚夜天祭，风月主人召唤火陨灭世，昔日劫难再次降临，轩昂五玑各自伤亡，儒道顶峰身无余力，传说中的恒山·剑谪仙，如今身在何处？他能再现江湖，扛起苍生这面大旗吗？欲知一连串精彩结果，请勿错过霹雳布袋戏——霹雳靖玄录下阕·皇祸篇。,,,,,,,,,,,,
儿女是我们的,57000,40,1273,25,230,剧情家庭,暂无评分,评分人数不足,84,0,2,简介：梅淑卿为了争取自由恋爱，摆脱封建大家庭，选择与江少文这个穷教师到小镇定居结婚。婚后五个子女在十二年内先后出生，儿女一多，经济便有了困难，终于两人都先后为儿女而过度辛劳，在极度贫困中死去，无法完成父母的责任。然而悲剧还未终结，彼时竟有人肉贩子看中他们的大女儿……,,,,,,,,,,,,,
霹雳靖玄录下阕（闽南语）,125000,15000,82000,1783,3255,布袋戏热血奇幻战斗,暂无评分,评分人数不足,已完结, 全28话,无,无,简介：乱世皇麟异域灾，焚夜悲歌天祭开。侠影纷纷靖玄祸，恒山终见谪仙来。皇祸再起，逆世双鳞重磅袭卷南域，焚夜天祭，风月主人召唤火陨灭世，昔日劫难再次降临，轩昂五玑各自伤亡，儒道顶峰身无余力，传说中的恒山·剑谪仙，如今身在何处？他能再现江湖，扛起苍生这面大旗吗？欲知一连串精彩结果，请勿错过霹雳布袋戏——霹雳靖玄录下阕·皇祸篇。,,,,,,,,,,,,
霹雳靖玄录下阙（普通话免费）,1858000,61000,82000,6056,6737,布袋戏热血奇幻战斗,暂无评分,评分人数不足,已完结, 全28话,无,无,简介：乱世皇麟异域灾，焚夜悲歌天祭开。侠影纷纷靖玄祸，恒山终见谪仙来。皇祸再起，逆世双鳞重磅袭卷南域，焚夜天祭，风月主人召唤火陨灭世，昔日劫难再次降临，轩昂五玑各自伤亡，儒道顶峰身无余力，传说中的恒山·剑谪仙，如今身在何处？他能再现江湖，扛起苍生这面大旗吗？欲知一连串精彩结果，请勿错过霹雳布袋戏——霹雳靖玄录下阕·皇祸篇。,,,,,,,,,,,,
船长二世,85000,1985,7397,427,808,剧情喜剧动作,9.6,107,70,0,26,简介：船长老比尔已多年未见自己的儿子了，可当儿子终于大学毕业出现在老比尔面前时，他矮小的身材却不禁让万分期待的老比尔颇感失望。与此同时，小比尔的女友也回乡拜访父亲，没想到却是老比尔的死对头金船长。两人的感情面临危机。一天，一场飓风突如其来，更让港口险象环生。本片与《将军号》一起被认为是巴斯特·基顿的杰作。,,,,,,,,,,,,,
谎言真相,21000,211,1056,30,84,喜剧爱情,暂无评分,评分人数不足,94,0,5,简介：当真相铺天盖地而来，令人根本无法接受的时候，吉尔比发现自己早已陷入了一个错综复杂的谎言网无法脱身。,,,,,,,,,,,,,
外星火球,34000,41,888,55,1642,宇宙科技,暂无评分,评分人数不足,已完结，共1集,0,0,简介：2009年9月25日，晚上9点刚过，一枚巨大的火球带着遥远太空的秘密，从加拿大安大略的上空划过……普通人眼中奇妙的流星，却或许是能够揭示地球生命起源的铁证。而最近的这次流星事件给科学家们提供了绝佳的机会——刚落下的陨石或许能提供重要的新证据，可以解答太阳系的起源、甚至地球生命起源的问题；同时高精尖的仪器让他们得以全方位地观察和研究这种天外岩石。但首先，他们需要找到陨石所剩无几的碎片……,,,,,,,,,,,,,
天启：希特勒的崛起,4968000,840,409000,12000,35000,历史人文,暂无评分,评分人数不足,已完结, 全2集,无,无,简介：1924年，阿道夫·希特勒写下了“我的奋斗”，这本书充满仇恨,最后一段是狂热的呐喊：“一个种族未被玷污的国家必然会统治世界”。阿道夫·希特勒生于1889年4月20日，他于1945年4月30日自杀，这位不知从哪里冒出来的奥地利人是如何成功征服德国的？他是如何播下仇恨和暴力的种子？特勒和纳粹是如何将世界卷入末日？希特勒现象是如何产生的？本系列的两集纪录片以真实的画面再现了这位让全世界愤慨的刽子手是如何一步一步成为德国的最高领袖，实现自己的阴谋。,,,,,,,,,,,
金刚,1749000,6953,32000,1737,14000,冒险动作奇幻,9.5,310,100,1,107,简介：导演卡尔·丹汉姆（罗伯特·阿姆斯特朗 Robert Armstrong饰）为了完成他的电影而来到了荒无人烟的骷髅岛。一只巨大的非洲大猩猩金刚居住在这个与世隔绝的岛上。然而它却被卡尔逮住并带到了纽约，在那里它成了供人观赏的怪物。卡尔一直为没有找到适合的女主角而烦恼，直到他遇见了貌如天仙的美丽女孩安·达罗（菲伊·雷 Fay Wray饰）。而此刻，金刚也深深地爱上了安。,,,,,,,,,,,,,
兰姨,22000,84,535,16,76,剧情爱情,暂无评分,评分人数不足,104,0,2,简介：大导演岳枫又一得意之作，描述女主角方盈饰演之文兰，围绕着三位英俊小生王羽、乔庄及张冲之间，发展出一段感人肺腑之四角爱情关系。,,,,,,,,,,,,,
春蚕,26000,15,564,8,58,剧情,暂无评分,评分人数不足,98,0,0,简介：江菡（葉楓）不幸患上絕症，醫生指其生命只有半年，江卻瞞著丈夫劉世民（關山）。劉任職的公司來了一位年青寡婦羅楚楚（胡燕妮），劉欣賞她的才幹，亦同情其悲涼身世。後羅愛上劉後，不欲破壞其幸福家庭，決心離職。江雖知羅對其夫之愛意，不僅未為此妒忌，還從中拉攏……,,,,,,,,,,,,,
天蚕变,230000,5892,4740,260,1222,动作悬疑,暂无评分,评分人数不足,89,0,14,简介：云飞扬（徐少强 饰）表面上不过是一介小小杂役，但实际身份却是武当掌门青松（王戎 饰）的私生子，私底下，青松传授了云飞扬诸多的武艺。青松有一宿敌独孤无敌（万梓良 饰），两人交手多年没有分出高下。青松新收了一名为傅玉书（刘永 饰）的弟子，哪想到玉书其实是青松之敌逍遥谷主人的孙子，他此行只有一个目的，那就是偷师学艺为亲复仇。玉书杀害了青松霸占其位，并将罪名嫁祸到了云飞扬的头上，一时间，云飞扬成为了江湖上人人喊打的逆贼，他不得不踏上了逃亡的旅程。途中，云飞扬身负重伤被一女子救下，这位女子不是别人，竟是他同父异母...,,,,,,,,,,,,,
万花迎春,13000,28,456,18,48,歌舞,暂无评分,评分人数不足,109,0,1,简介：向世人进一步显示邵氏电影王国的人力、财力之作。香港首部伊斯曼七彩阔银幕大制作，水平直逼好莱坞。《万花迎春》有着好莱坞式的靓人靓景，开心歌舞等大型视听娱乐。银幕情侣喜剧小生陈厚和乐蒂展现了炉火纯青的舞姿和演技，令人拍掌叫好。乐蒂是富家女，掩饰身份进入陈厚的歌舞团，陈不知底蕴，对她诸多挑剔，误会丛生，然而最后情花暗种。《万花迎春》制作浩大，歌舞连场，当时的年青音乐家顾家辉凭此片获得第三届金马奖最佳音乐奖。配角亦非常出色，有“娃娃影后”李菁、 蓝娣，还有大制片家高宝树，阵容一时无两。,,,,,,,,,,,,,
少年苏乞儿,80000,449,1449,71,375,喜剧动作,暂无评分,评分人数不足,85,0,5,简介：电影《少年苏乞儿》描述一代宗师苏灿的少年故事。在清末民初，苏家与万家为广州大武馆，两家时起冲突，偏偏苏家独子苏灿跟万家幼子豪却成莫逆之交。后二人因缘际会结识了萧玲及马坤。其后萧玲与苏灿相恋，惜此时苏灿被诬弒父入狱，萧玲为救他而失身于邓队长，却反被苏灿误会。另一方面，苏灿得马坤帮助而顺利逃狱，与马坤和豪往省城开设武馆。,,,,,,,,,,,,,
烽火万里情,18000,8,315,8,44,剧情爱情,暂无评分,评分人数不足,100,0,1,简介：此片乃是六十年代典型文艺爱情悲剧之经典，以战争为背景。素芬在父亲的安排下与军人国梁（关山）成婚；婚后丈夫被调往前线打仗，然家姑善妒，对芬诸多挑剔。芬抵受不了家姑的折磨终染上肺病，家姑更乘机以肺病传染为由，迫她解除婚约。自始夫妻不能相见，直至战争完结，两人虽终有缘相遇，只可惜他们已阴阳永诀……,,,,,,,,,,,,,
红粉动江湖,37000,631,739,55,196,动作冒险,暂无评分,评分人数不足,95,0,12,简介：本片为鲁俊谷导演，由铁汉陈观泰与米雪、林秀君及楚湘云三美女主演。故事描述，田思思（米雪）为富家女，娇生惯养，刁蛮成性，喜武功，其父每斥资请武林高手与其交手，佯作打败，田自感武功高强，其侍婢（林秀君）每日讲述武林故事，谈及高手秦歌（陈观泰）潇洒风流，万夫莫敌，田为之心慕神往，忽闻其父将其许配与一名杨凡（元德）者，心有不甘，乃与婢女扮男装，寅夜出走，寻访秦歌……,,,,,,,,,,,,,
弟子也疯狂,38000,248,884,21,206,喜剧动作,暂无评分,评分人数不足,93,0,4,简介：《弟子也疯狂》是邵氏兄弟电影公司出品的一部经典武打喜剧片，由刘家班的两大王牌小生汪禹、刘家辉及张家班弟子钱小豪、罗莽领衔主演，另有罗烈、元秋、徐锦江等知名演员的加盟，演员阵容十分强大。尽管方世玉、洪熙官的故事被多次搬上荧幕，但多以正面英雄形象出现，而本片则不同于以往的人物塑造，虽然影片中方世玉、洪熙官依然是不畏强暴、反清复明的正面角色，却多了几分顽皮甚至无厘头，使人物形象更加饱满生动。影片中打斗场面真实精彩，幽默搞笑贯穿其中，是一部轻松幽默的动作喜剧佳片。,,,,,,,,,,,,,
