电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
钟南山,1225000,5,48000,34000,21000,人文医疗社会,9.8,4217,已完结，共1集,7,1444,简介：从新冠疫情线索切入，讲述钟南山在2020新冠疫情和2003年非典疫情当中奋斗在抗疫一线的故事，回顾钟南山八十多年来人生的奋斗历程——“理解南山，感悟南山”。,
初心,303000,1749,1428,377,1832,剧情,暂无评分,评分人数不足,已完结, 全32集,0,15,简介：1949年，解放军和平解放新疆，新疆军区成立，甘祖昌担任后勤部副部长。当时，敌特支持投机倒把分子新疆扰乱物价，大肆垄断黄金银圆，妄图从经济上困死解放军，甘祖昌低价将银圆投入流通市场，打击奸商气焰，稳定市场，稳定新疆政局。其后，敌特分子为报复甘祖昌制造车祸，令他头部重伤。1955年甘祖昌被授予少将军衔，和他同村同时入伍的李保山则授校衔。李对甘很嫉妒，违纪后被解职回乡。甘祖昌脑震荡后遗症严重，自觉不在适合服务军队，加之回家后看到家乡虽解放但生活仍贫困，自请辞职，解甲归田，回到老家江西莲花县沿背村。回乡后，他不辞...,
风云之十里洋场,186000,1493,694,353,1055,剧情,暂无评分,评分人数不足,已完结, 全31集,0,0,简介：讲述来民国初年，在风云际会的上海滩，一个平凡的小警察邢佳栋饰演的陆行天被推到来时代的风口浪尖，继而发生的种种感情、革命、斗争故事。该剧有个特别之处就是引进了一个全新的行当-翻戏党，导演谭友业表示，该剧故事将镜头对准纵横江湖数百年传奇行当雁门，民国时期又名“翻戏党”，“这一门算是江湖中上的地下党，专以诈术、设局骗取金银财宝，他们这些人是江湖几大门最有智商和谋略，专干大买卖。”,
方舟·东黑冠长臂猿,238000,1224,17000,663,5092,动物自然,9.8,106,已完结，共1集,0,31,简介：东黑冠长臂猿是全球最濒危的灵长类之一，目前数量仅120多只，只分布在中越边境的一小块喀斯特森林里。中越两国分别在这里建立了保护区和跨境合作机制，经过十多年的联合保护，东黑冠长臂猿的数量实现稳定小幅度增长， 这是全球最成功的野生动物跨境保护案例之一。该纪录片首次向世人揭开这一物种的神秘面纱，讲述东黑冠长臂猿绝境求生的故事，还有中越两国政府、保护区、科学家为保护长臂猿而共同努力的感人故事。本片是由缤纷自然、广西电视台、bilibili联合出品的自然题材纪录片。,
天行情歌,348000,2178,25000,1183,4849,动物自然,9.8,162,已完结，共1集,4,44,简介：影片讲述了天行长臂猿的隐秘生活，揭示出许多从未被观察到的猿类行为，以及人们保护这些小型类人猿的故事。影片提名Jackson Wild联合国2020年“生物多样性”影展，“科学、创新与探索类”决赛影片，并参与联合国相关重大活动的巡展，该片目前还获得IWFF国际野生动物电影节“野生动物保护类”最佳影片提名以及法国戛纳电视节MIPTV真实影展“自然历史类”最佳影片提名。《天行情歌》的拍摄制作耗时3年半，是缤纷自然“中国猿影像保护计划”的其中一部作品，该片在云南省林业厅、高黎贡山自然保护区管护局、铜壁关自然保护区管护局等领导和工作人...,
王爷你好贱 动态漫,1361000,6309,21000,1418,2298,少女历史古风动态漫,4.9,351,已完结, 全12话,2,114,简介：朱无心穿越回到了古代。这里有最丰富多彩的小贱人们，有最意想不到的扎堆撕，甚至还有最臭不要脸的莲花贱，最重要的是，还有五花八门的王爷们，走过路过不要错过，总有一款适合你！,
龙门客栈,228000,6666,6888,768,2150,动作冒险,9.5,169,111,0,54,简介：明朝中叶，宦官当权，兵部尚书于谦遭陷害入狱，满门抄斩，只剩下一儿一女被押送塞外龙门充军。东厂太监曹少钦（白鹰 饰）意欲斩草除根，派人截杀两个孩子，被于谦旧部朱骥阻拦。曹少钦又派心腹皮绍棠（苗天 饰）和毛宗宪（韩英杰 饰）赶到出关必经之地龙门客栈拦截...,
柯鲁布克罗/ Coluboccoro,283000,800,26000,884,3868,原创架空奇幻,8.8,286,已完结, 全1话,1,116,简介：由糸曽贤志独立制作的动画,
虹色时光,4343000,62000,234000,21000,36000,漫画改恋爱校园少女,9.2,2345,已完结, 全24话,7,775,简介：去年圣诞节夏树被女友甩了。当他痛哭流涕时，一位圣诞装扮的女生递给他纸巾，于是夏树把手里的围巾 （原本打算送给甩他的女友）给了她。后来他们也没再见过，但夏树没想到她和自己同校，而且还带着他送的围巾......夏树，智也，惠一，刚是总聚集在一起的青谅高中男子4人组。不参加部活，学习也草草了事，快快乐乐地过着每一天。那样的4个人眼下最关心的事，果然还是恋爱！单恋着别班的杏奈的夏树受到了大家的欺负却依然在努力奋斗中。,
城市猎人91,998000,13000,281000,2248,8862,漫画改战斗,9.7,396,已完结, 全13话,0,105,简介：由北条司原作漫画《城市猎人》改编的动画,
