电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,,,,,,,,,,,,,
跨越时空的爱人,188000,817,3346,188,3072,剧情喜剧爱情,暂无评分,评分人数不足,89,0,12,简介：当一个男人爱上一个订婚的女人时，他决定设计一个计划——回到过去在她遇见她未婚夫之前追到她，透过他的才智与金钱，配合科学家教授多年来的研究，他将回到过去抢得先机，一旦回到过去，他会发现爱总是在他意想不到的地方……,,,,,,,,,,,,,
动物帝国,244000,325,2297,288,1424,动物自然,暂无评分,评分人数不足,已完结, 全6集,0,1,简介：动物们在世界各地组建自己的帝国，为了帝国的繁荣它们必须全力以赴。有的跨越重重险阻去往更适宜的栖息地；有的冒着生命危险侵占人类的领地以求更好的发展。有的帝国曾一度濒临覆灭，却又绝处逢生；有的帝国虽走上了下坡路，但是它的子民们却仍在顽强拼搏。它们虽没有人类的智慧，却凭借着求生本能和代代相传的生存模式活到今日。如今人类文明不断扩张，面对新的挑战，帝国的动物该如何在新环境中生存又该如何与人类和谐共处。一起来看《动物帝国》，这是关于动物的奋斗史。,,,,,,,,,,,,
精灵乐园,525000,227,11000,320,1581,自然动物,暂无评分,评分人数不足,已完结, 全3集,0,4,简介：印度洋上漂浮着一个终极的失落世界——马达加斯加。作为全球第四大岛，这里模糊着神话与现实的界限，生命在这里以奇异的方式进化着，这里是神奇的天堂之地，是庇护所，是精灵的乐园。这里的物种呈现出惊人的多样性，这里超过70%的动植物在全世界都是独一无二的，比如狐猴、马岛长尾狸猫、猴面包树、变色龙、青蛙等。让我们一起走进本系列纪录片，领略马达加斯加非凡的魅力吧。,,,,,,,,,,,,
永远忠诚,80000,95,1319,109,1389,人文社会,暂无评分,评分人数不足,已完结，共1集,0,1,简介：借由自己创作的舞台剧，杰夫·基准下士讲述了他作为一名美军士兵与同性恋者的故事。,,,,,,,,,,,,,
宏观世界,1159000,4775,34000,1766,6557,动物自然,暂无评分,评分人数不足,已完结, 全3集,0,5,简介：地球上的生物物种具有多样性。直到21世纪初，人类已知的昆虫有100余万种，但仍有许多种类尚待发现。昆虫种类繁多、形态各异，属于无脊椎动物中的节肢动物，是地球上数量最多的动物群体，在所有生物种类中占了超过50%，它们的踪迹几乎遍布世界的每一个角落。比如生活中最常见的蜜蜂、黄蜂、甲虫、瓢虫、蜻蜓等，本系列纪录片以引人入胜的叙事方式，主要讲述了大自然中各种常见的昆虫的生活，让我们一起来欣赏吧。,,,,,,,,,,,,
头条之外,267000,495,2448,115,2296,人文社会罪案,暂无评分,评分人数不足,连载中,0,1,简介：第一集：克里斯托弗·波尔科，一个来自看似美满家庭的孩子，因内心无止境的欲望，在一个深夜里，用斧头杀害了自己的父亲，而母亲终身残疾。到底是什么造就了这一切？第二集：住在德州休斯顿的怀特一家，在外人看来是一个幸福的四口之家。但最终苏珊·怀特亲手撕开了这层漂亮的包装纸——她刺了杰弗里·怀特，也就是她的丈夫，193刀。控方认为她是故意谋杀，专家认为她是激情杀人。二十五年的有期徒刑对苏珊来说是否公平呢？,,,,,,,,,,,,,
动物出生的奇妙过程,283000,1109,5631,613,2127,自然动物社会,暂无评分,评分人数不足,已完结, 全6集,0,3,简介：动物学家露西·库克用镜头带领我们前往一次奇幻旅程，见证不同动物出生的时刻。在这里，我们能看到哺乳动物从母亲的身体中来到世界，第一次自由呼吸，第一次睁开双眼打探新奇的世界，第一次站立，第一次喝奶，第一次啼哭；也能看到卵生动物挣脱束缚，破壳而出。在这里，我们能看到动物的母亲与孩子之间强烈的情感纽带，也能看到人类与动物之间的信任与感激。生命的力量让人感动，让人热泪盈眶。,,,,,,,,,,,,
英国铁路纪行 第八季,154000,396,14000,228,1700,历史人文社会旅行,暂无评分,评分人数不足,已完结, 全15集,0,2,简介：经典纪录片《英国铁路纪行》是由前英国国防大臣迈克尔·波蒂略所主持，他也曾担任过英国交通部长的职位。这使他成为带领我们坐着各式各样的火车，游览英伦群岛的不二人选。他带着那本《布拉德肖指南》，在回顾英国的历史同时，也在不断学习，激励着观众们去探索新知识。英国曾是世界上科技最发达、最先进的强国，这一切都归功于对铁路交通的重视。社会的发展体现了人类的优秀。波蒂略在乘坐铁路交通的同时，也在解析每一段发展期。他发现近几个世纪，世界之所以有这么大的变化，全因发达的交通。而火车，则堪称是一项划时代的发明。,,,,,,,,,,,,
在你耳中,545000,1138,25000,731,3875,人文社会,暂无评分,评分人数不足,已完结, 全6集,0,12,简介：如果你的耳朵里有一个充满智慧的世界会是什么样呢？这部大胆、感人和创新的事实娱乐系列片讲述了发生在那些因面临真实挑战而疲惫不堪的英国人身边的故事。在一个星期的时间里，将会有一个由来自世界各地的多元文化专家组成的合唱团通过入耳设备对他们的生活进行观察和倾听，并对他们的一举一动提出指导和建议。因为，成年人也需要建议。,,,,,,,,,,,,
欧洲寻堡之旅,128000,354,15000,386,2252,人文历史社会,暂无评分,评分人数不足,已完结, 全5集,0,2,简介：在这扣人心弦的五部曲中，我们将探秘欧洲多彩的历史与古老的传统，为浪漫的法国卢瓦尔河谷起舞、为幽雅的德国巴登-符腾堡州惊叹、为悠久的英格兰南部征服、为空灵的意大利皮德蒙特山脉迷醉，为神秘的葡萄牙里斯本吸引，一同揭开宫墙背后封闭而神秘的世界。在这趟欧洲寻堡之旅中，通过生动形象的戏剧性重建、近距离采访以及展示档案片段，欧洲古堡背后的历史真相、王亲贵族的生活原貌将被一一还原，欧洲四分五裂的板块在历史的穿针引线下也得以重新连接，交织成一段色彩各异、五味杂陈的复杂故事，让后人有幸一窥这些极尽奢华的宫殿的昔日,,,,,,,,,,,,
