电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,,,,,,,,,,,,,
生命周期,382000,1013,8618,400,2582,动物自然,暂无评分,评分人数不足,已完结, 全6集,0,3,简介：在神秘的大自然中，万物遵循着看不见的规则，一刻不停地生长变化着。从细小的原始细菌，到结构复杂的大型生物，皆是如此。每种生物由生到死，都会经历一系列的事件、度过各种各样的难关。出生后，要争夺存活长大的权利；成年后，为了繁育后代、将自己的基因流传下去，还要不断成长，建设家园。既有习惯独居、仅在重大时刻才聚集成群的动物，也有习惯于群体生活的社会性动物。在生存的挣扎中，适者生存的画面时刻上演着……,,,,,,,,,,,,
圣米歇尔山:抵抗岁月侵蚀,33000,216,2399,157,1435,历史自然社会人文,暂无评分,评分人数不足,已完结，共1集,0,6,简介：法国诺曼底的圣米歇尔山，1300年来在岩石小岛上屹立不倒。中世纪时期，阿夫朗什镇修道院的院长受到大天使米歇尔点化，为大天使修建圣所。从那以后，圣米歇尔山修道院从最初朴实的小教堂演变成恢弘的修道院，无数虔诚的信徒跨越欧洲来此朝圣,在百年战争的黑暗岁月中，它坚不可摧的堡垒抵抗住敌军的入侵,而在光明的启蒙时期，它却成为黑暗、阴冷、潮湿的国家监狱,后来监狱关闭，经过翻修和现代人的努力，它又重新迎来生机。未来会如何我们不得而知，可是，圣米歇尔山的历史远未完成。,,,,,,,,,,
门里门外,88000,629,3293,235,2811,剧情,暂无评分,评分人数不足,88,1,16,简介：在一栋破旧的筒子楼里，罗西塔带着残疾母亲一起生活，同一楼层的租户还有她的好友露比塔，带着女儿柳芭的俄罗斯单亲妈妈玛莎，带着儿子爱华迪多的单亲妈妈特里萨，以及被她们叫做鬣狗的胡安娜夫妇。这里每个人都过着各自的心酸生活，又有很多矛盾相交织。玛莎意外死亡后，女儿柳芭因为害怕偷偷藏到了罗西塔家里，社区服务的警察们到处寻找这个孤儿。为了避免罗西塔一开始坚持要把柳芭赶出去，但她的母亲坚持收留这个乖巧的女孩。,,,,,,,,,,,,,
考拉的秘密生活,246000,593,3154,272,1829,动物自然,暂无评分,评分人数不足,已完结, 全2集,0,3,简介：澳大利亚是一个巨大的岛屿大陆，与世隔绝了数百万年，这里进化出了自己独特的动物物种。如果有一种动物是这个国家无可匹敌的标志的话，那一定是考拉。它们体态憨厚，主要栖息在桉树上，以桉树叶为食，它们还是世界上最能睡的动物，每天的睡眠时间达到22个小时左右，是名副其实的大懒虫。现在，让我们一起观看本系列纪录片，走进考拉的秘密生活，探索澳大利亚这个考拉王国吧。,,,,,,,,,,,,
欢迎来到宇宙SHOW,162000,1961,24000,1078,2150,原创搞笑科幻,9.3,234,已完结, 全1话,0,90,简介：《欢迎来到宇宙SHOW》以被大自然包围着的小村庄·村川村为舞台，这里的一间小学包括新入学的小山夏纪也只有5名学生，但是他们也过着愉快的每一天。到了夏天合宿的时候，5名少年少女在学校集合，却为了寻找失踪的兔子而进入深山。在那里他们发现了迷之圆形巨物，以及躺在旁边的一只小狗。在帮它进行医治之后，他们发现小狗竟是外星人。那么，它穿越2100万光年来到地球的目的是什么呢？一部五个人+一匹犬的宇宙大冒险即将拉开帷幕！,,,,,,,,,,,,
袋鼠的秘密生活,434000,339,2067,171,1384,动物自然,暂无评分,评分人数不足,已完结, 全3集,0,2,简介：在澳大利亚的东部地区生活着一群跳跃高手——东部灰大袋鼠。袋鼠的一生充满了惊喜——小到拌嘴吵架，大到武力对决。它们有弹跳能力最强的宝宝，最擅长拳击的雄性，最惊人的繁育方式和最奇妙的社交活动。在本系列中，我们将一起去了解袋鼠的群体规则：与四处游荡的雄性相较，雌性有固定栖息和觅食地；袋鼠宝宝的成长过程：从一颗小小的米粒如何成长为跳跃高手；以及雄性袋鼠一生最重要的事情：争夺交配权，延续血脉。,,,,,,,,,,,,
ULTRAMAN 机动奥特曼,38582000,478000,2427000,106000,102000,漫画改奇幻科幻战斗,9.4,19614,已完结, 全13话,89,7267,简介：这个世界上曾经有着一个被称为“光之巨人”的存在。不久，“光之巨人”完成了他的使命，返回了遥远宇宙的故乡，跟他同化的地球人也失去了过往的记忆，回到了自己原本的地方。奥特曼的存在已成为过去之物，科学特搜队日本支部也结束了它的功能，被改建成光之巨人纪念馆。早田进次郎是一名已经过了多愁善感的青春期的高中生。然而，他意识到自己拥有惊人的弹跳力和健壮的肉体等正常人类所不具有的力量。某天，进次郎知道了父亲早田进曾经是奥特曼。而且，在没有奥特曼守护的地球上，暗中策划各种阴谋活动的外星人依然存在着。作为隐秘组织而健在...,,,,,,,,,,,,
水果篮子 (2019),23395000,304000,1489000,115000,133000,漫画改奇幻校园恋爱,9.7,10676,已完结, 全25话,50,3180,简介：高中生本田透在失去了自己唯一亲人的母亲之后过起了独自一人的帐篷生活。但是，透安扎帐篷的地方刚好就是历史渊源的家族“草摩家”的领地之内！在草摩紫吴的邀请下成为了草摩家佣人的透，居然要与学校里王子般存在的草摩由希、以及视由希为眼中钉的草摩夹这两人一起生活。然而，透却仍未知晓。“草摩家”自从数百年前起就被忌讳的诅咒所束缚的事实……,,,,,,,,,,,,
我们无法一起学习,54132000,946000,2233000,255000,185000,漫画改日常校园恋爱,9.2,18313,已完结, 全13话,52,5260,简介：刻苦学习的高中3年生·唯我成幸，为了获得免除大学学费的“特别VIP推荐”资格，而要去担任为备考而苦战的同级生们的教育指导员。教导的对象是“文学之森的睡美人”古桥文乃和“机关精巧的拇指姑娘”绪方理珠这两位学园顶尖的天才美少女！原本以为她们的学习能力完美无缺，没想到对于不擅长的学科却完全无能……！？成幸一边被充满个性的“学不来女孩”们玩弄于股掌之间，一边为了让她们努力通过大学考试！无论学习还是恋爱都“学不来”的天才们的恋爱喜剧，就此开幕！！,,,,,,,,,,,,
MIX,7776000,47000,231000,35000,43000,漫画改运动社团恋爱,9.8,4784,已完结, 全24话,21,1483,简介：由于父母的再婚，虽然无血缘关系的但出生年日相同的双胞胎（？）兄弟——立花投马与立花走一郎是明青学园初中部·棒球社的初中二年级生。作为捕手和击球手的走一郎非常的活跃。而投马由于某些原因而担任三垒手，却拥有着作为投手的才能。走一郎的亲妹妹同时也是投马无血缘关系的义妹·立花音美也进入了初中，三人之间的氛围也发生了一些变化。升上高中的投马与走一郎，到底能否站在甲子园的土地之上——,,,,,,,,,,,,
在世界尽头咏唱恋曲的少女YU-NO,3805000,28000,516000,10000,25000,游戏改科幻恋爱声控,6.5,2371,已完结, 全26话,23,826,简介：主人公·有马拓也幼年丧母，身为历史学者的父亲也在两个月前因事故去世。在各个方面都失去了活力的高中最后的暑假。某天，他收到了装有镶嵌着用途不明的圆镜和玻璃珠的奇妙物体的小包裹。一起送来的信中有着令人想到父亲还活着的内容……？！“今晚10点，带着这个东西到剑之岬（三角山）来。”他按照指示前往那个地点，却发现神秘的女性倒在那里。而且，那里还有学园长和神秘转学生的身影。一瞬间，随着大地的轰鸣，他被光所包围……。前往并列世界的旅程，由此开始了。,,,,,,,,,,,,
玻钻之争,6214000,284000,50000,3182,16000,剧情情感家庭,9.1,337,已完结, 全29集,0,135,简介：裴娟出生贫苦，为了腹中的孩子，她强打起精神努力工作。娜丽含着金汤匙出生，从小过着养尊处优的生活，对肚子里即将出世的婴儿更是宝贝万分。一场车祸让这两个境遇截然不同的女人相遇了，即将临盆的两人被送往了同一家医院。两个可爱的女婴诞生了，她们被放在了一起。让众人没有想到的是，护士贴错了两人的名牌，导致裴娟抱错了婴儿。尽管之后裴娟意识到怀中的并不是自己的亲生女儿，但当她得知亲生女儿患了重病凭她之力根本无法承担巨额医疗费之后，痛苦的裴娟选择了沉默。就这样，原本的千金大小姐流落到了穷苦人家，取名楠佩（楠迪·宗拉维蒙 Nam...,,,,,,,,,,,,
丘比特的圈套,4643000,171000,32000,3102,11000,剧情情感都市,9.8,390,已完结, 全26集,1,174,简介：普巴迪（纳瓦·君拉纳拉 Nawat Kulrattanarak 是）的弟弟帕瓦（Chayatorm Sotjinda 饰）和阿诺妮莎（楠迪·宗拉维蒙 Namthip Jongrachatawiboon 饰）的姐姐奥洛尼（Sinitha Bonnyasak 饰）真心相爱，但却因为身份差异悬殊而遭到了男方家人的强烈反对。出国在外的普巴迪被妈妈匆忙召回国内处理弟弟的感情问题，他设下了种种计谋来拆散两人，但终以失败告终。普巴迪将帕瓦支出国管理家族生意，并保证如果在这一年内奥洛尼洁身自好，那么就同意两人的婚事。奥洛尼的父亲身患重病需要大笔医疗费来进行治疗，无奈之下，奥洛尼答应了普巴迪提出的离开他...,,,,,,,,,,,,
八月的棒球甜心,1945000,26000,203000,12000,16000,游戏改运动校园,9,1291,已完结, 全12话,6,451,简介：在市立里滨高中上学的有原翼，在这个没有棒球部的学校创立了“女子硬式棒球部”。聚集在这里的是：第一次接触棒球的，曾经放弃过比赛的，以及不断挑战自身极限的少女们，她们时而争执、竞争，又互相支撑着，里高女子棒球部为青春驰行!史上最炎热的夏天由此展开――,,,,,,,,,,,,
决胜荒野,56744000,403000,2555000,93000,140000,探险运动,9.7,4510,已完结, 全6集,2,1253,简介：《决胜荒野》是一档全新野外生存类系列节目，世界顶级探险家、野外生存专家们将挑战世界首个横跨亚马逊河的探险家——闻名遐迩的埃德·斯坦福德。每集节目中，埃德·斯坦福德都将迎战一位顶级野外生存专家，而他们的竞技场是亚洲一些最美丽壮阔但崎岖艰险的自然环境，他们将角逐谁将成为“求生高手”。埃德·斯坦福德曾参与主持了Discovery多档野外求生类节目，并大获成功，例如，在荒岛上“单挑荒野”60天；在世界各地“单挑荒野绝境”。而这次，走出荒野只是埃德所要完成的其中一项任务，他这次还要奋不顾身地捍卫自己世界第一求生高手的位置！,,,,,,,,,,,,
深夜的超自然公务员,12425000,79000,596000,23000,46000,漫画改奇幻职场声控,7.6,3557,已完结, 全15话,26,993,简介：任职于新宿区政府的宫古新，本应成为一个普通的公务员，却被调遣到了一个东京23区各区都无人知晓的“夜间地区交流科”工作。工作的内容是，解决各种妖怪们引起的超自然事件。与部门的前辈即课长榊京一，和狂热爱好超自然现象的姬冢圣央一起，每日与超越人类常识的存在相处，日日夜夜出勤工作。,,,,,,,,,,,,
产科医鸿鸟,2998000,100000,161000,6500,14000,剧情励志情感,9.8,1030,已完结, 全10集,1,236,简介：东京都一处Live House中，艺名Baby的音乐家忘我地用钢琴演奏着梦幻曼妙的旋律。很少有人知道，这个男子还有另一个身份，那就是某综合医疗中心的产科医生鸿鸟樱（绫野刚 饰）。鸿鸟技艺精湛，艺术绝伦，无论多么危急复杂的情况下都能作出冷静准确的判断，而且他的性格温柔，对工作极其尽职尽责，即使正在演奏的过程中，一旦接到医院的电话也会立即中止演出赶回医院。当然，专业负责的医疗团队更是不可或缺。28岁的女性医生下屋加江（松冈茉优 饰）、助产士小松留美子（吉田羊 饰）、鸿鸟的同期四宫春树（星野源 饰）都是他最值得信赖的伙伴。暖...,,,,,,,,,,,,
CANNON BUSTERS,2369000,13000,167000,2554,6652,漫画改搞笑冒险科幻,7,1033,已完结, 全12话,7,369,简介：有点脱线的高阶机器人S.A.M从被巫师控制的国家出逃来寻求援助。为了拯救自己的国家，S.A.M决定去寻找失散在外的王子。本着“一个好汉三个帮”的道理，S.A.M遇到了愿意帮助她的伙伴——古怪的维修系机器人Casey，体质特殊的Philly。风格迥异的三人开始了奇妙的旅行。在旅途中，三人背后各自存在的隐情也逐渐被揭开…,,,,,,,,,,,,
爱乐之城,8395000,19000,688000,70000,100000,剧情爱情歌舞,9.8,12555,128,66,3109,简介：米娅（艾玛·斯通 饰）渴望成为一名演员，但至今她仍旧只是片场咖啡厅里的一名平凡的咖啡师，尽管不停的参加着大大小小的试镜，但米娅收获的只有失败。某日，在一场派对之中，米娅邂逅了名为塞巴斯汀（瑞恩·高斯林 饰）的男子，起初两人之间产生了小小的矛盾，但很快，米娅便被塞巴斯汀身上闪耀的才华以及他对爵士乐的纯粹追求所吸引，最终两人走到了一起。在塞巴斯汀的鼓励下，米娅辞掉了咖啡厅的工作，专心为自己写起了剧本，与此同时，塞巴斯汀为了获得一份稳定的收入，加入了一支流行爵士乐队，开始演奏自己并不喜欢的现代爵士乐，没想到一...,,,,,,,,,,,,,
幸福终点站,3110000,42000,220000,18000,38000,剧情喜剧爱情,9.7,3713,128,11,786,简介：维克多（汤姆?汉克斯 饰）从故国乘坐飞机前往美国肯尼迪机场，但戏剧性的事情发生了：他被告知祖国发生政变，他的护照也失效了。进退两难的维克多只有在机场滞留，等待新证件的办理，一等就是整整9个月。在这9个月里面，他用机场的洗手间洗漱，在候机室睡觉，他已经学懂因地制宜，在机场照料自己的生活，找了一份建筑工地工作，甚至还与美丽的空姐艾米利亚（凯瑟琳?泽塔-琼斯 饰）相爱。处在甜蜜中的维克多，也在慢慢观察机场的人生百态，自得其乐，然而维克多的邋遢晦气却招来了机场负责人弗兰克的不满......,,,,,,,,,,,,,
我们的1944,6843000,19000,74000,6056,20000,剧情战争历史,9.4,1029,100,6,253,简介：1944年，德军与苏联列宁格勒方面军为争夺纳尔瓦地峡进行了一连串战斗。7月，苏军攻占了纳尔瓦，这座古城九百年来一直是俄罗斯和西方世界的分界线。纳尔瓦身后的坦能堡防线是爱沙尼亚首都塔林的最后防线，一群20岁出头的爱沙尼亚青年人志愿加入武装党卫军亲卫队第20师，开始在东线迎头痛击苏军装甲部队，为反抗苏联的占领而战。这不是爱沙尼亚第一次沦为东方和西方、德意志人和斯拉夫人交战的战场。从楚德湖的冰上大战算起，这一战斗已持续了七百多年，夹在中间的爱沙尼亚人也不可避免地被双方裹挟其中，成为历史的牺牲品。,,,,,,,,,,,,,
探险记,85000,237,1266,103,2445,家庭,暂无评分,评分人数不足,90,0,6,简介：13岁的蒂姆·帕克和他朋友无意中发现了犯罪团伙逃跑时藏匿的一百万美元现金。几个孩子激动、兴奋之余想要找到一个大人帮我们把钱存进银行，幻想着以后可以过上无忧无虑的生活。他们找到了镇上的醉汉温斯顿，他整日无所事事只知道醉酒睡觉。蒂姆本想有了温斯顿的帮忙大家一定不会起疑心，但是没有想到的是温斯顿了解了事情的真相后狠狠地教育了几个孩子。而后犯罪团伙返回发现钱财丢失开始调查，几个孩子在金钱诱惑和危险的压迫中挣扎，到底应该如何抉择，成为摆在他们面前的一个重要的选择题。,,,,,,,,,,,,,
进化的奥妙,309000,867,2962,376,1537,自然动物,暂无评分,评分人数不足,已完结, 全6集,0,3,简介：为什么长颈鹿的脖子这么长？为什么秃鹫的头上没有毛？为什么山魈的脸那么鲜艳？为什么狗有这么多品种？为什么丛林狼能适应城市的生活？为什么蛇没有脚？为什么小丑鱼会改变性别？为什么雄性海马生孩子？为什么毛毛虫有眼斑？为什么倭黑猩猩时刻性交？为什么鲨鱼能生存几百万年？为什么蜜蜂如此勤劳？……动物界有许多“为什么”等着我们回答，让我们跟随镜头，解开进化的奥秘。,,,,,,,,,,,,
铁石心肠,4111000,105000,37000,1792,6808,剧情都市情感,9.3,249,已完结, 全28集,1,119,简介：阿杜（素格力·威塞哥 Sukrit Wisetkaew 饰）是一名私生子，一天，母亲带着他来到父亲家门前，希望父亲能够收留无家可归的母子两人，可是那天父亲不在家，开门的是父亲的正房，两人遭到了正房非人的对待，最终，母亲含恨而死。而阿杜则被姗姗来迟的父亲领进家门，开始了寄人篱下饱受欺凌的生活。唯一对阿杜好的，是邻居家的女儿阿明（培查雅·朝瓦莉 Pitchaya Chaowalit 饰），但阿明能够带给阿杜的温暖毕竟是有限的。一场意外中，阿杜坠入海中，继母以为他已经死了，可实际上，阿杜幸运的被好心人所救。一晃眼十几年过去，阿杜隐姓埋名再度回到...,,,,,,,,,,,,
太太当自强,342000,952,5518,1118,942,剧情情感搞笑,暂无评分,评分人数不足,已完结, 全21集,0,0,简介：在《太太要自强》中，Jib无法忍受Suer在家中称王称霸，于是下定决心要再回JNBC工作。而经理则成了她坚实的后盾，因为经理本来就希望她在这里工作。经理提交申请，让Suer和Jib一起竞争一个重要的项目，谁赢了就能在JNBC工作。并且他相信Jib的能力和经验比Suer更胜一筹，Jib一定会取得最后的胜利。Jib得偿所愿又当起了女强人，Suer则淘汰出局当起了“家庭煮夫”。Suer气Jib抢走了工作，而且也觉得让妻子养家糊口有失男人尊严。于是Suer又想回去工作，同时下定决心要让Jib怀孕，这样等Jib请产假的时候就能让她离开公司，最后，他成功了。,,,,,,,,,,,,
麻雀变凤凰,2438000,69000,16000,733,3685,剧情家庭情感,暂无评分,评分人数不足,已完结, 全27集,0,33,简介：如婉（Ratchaneekorn Panmanee 饰）是隆德（Poo Anuwat Niwartwong 饰）家中雇佣的女佣，和隆德之间产生了跨越阶级的感情。当隆德的母亲得知如婉的腹中怀上了儿子的骨肉后，残酷的将她从家中赶了出去。无处可去的如婉只得投奔经营着洗衣店的姐姐淑雅（Nahatai Pijittra 饰）。之后，如婉生下了隆德的孩子，取名为星星（婉娜拉·宋提查 Wannarot Sonthichai 饰）。星星生来就不是一个健康的孩子，为了筹集医药费，如婉不得不靠出卖肉体来赚取金钱，为了不拖累星星，她将星星交给了姐姐抚养，自己则转变为阿姨的角色。一晃眼多年过去，星星长大了...,,,,,,,,,,,,
爱在旅途,6535000,251000,56000,5694,18000,搞笑青春情感,9.7,812,已完结, 全30集,1,369,简介：潘雅兰（婉娜拉·宋提查 Vill Wannarot Sonthichai 饰）的父亲去世，雅兰匆匆赶回家等待接收父亲的遗产，哪知道家中的所有早就被后母莉莉（班娜娃·黑玛尼 Panward Hammanee 饰）的她的情人迪沙（New Chaiyapol Pupart 饰）变卖瓜分得一干二净，只留下了一条忠犬阿杜给潘雅兰。巴达伟（素格力·威塞哥 Sukrit Wisetkaew 饰）是一位摄影师，他同性感明星金吉娜（Fang Pitchaya 饰）之间的恋情遭到了母亲和姐姐的强烈反对。两人努力撮合巴达伟和名叫华珍（Toey Jarinporn Julkiet 饰）的女子，这让巴达伟心中十分不爽。潘雅兰遇到了麻烦，只能女扮男...,,,,,,,,,,,,
贤者之孙,90114000,1032000,2661000,298000,278000,小说改奇幻架空穿越,6.8,61077,已完结, 全12话,247,19845,简介：因意外过世的青年，转生到剑与魔法世界──强到破天荒!!!?理应意外身亡的青年，以婴儿姿态转世到了异世界!? 接着他被称为「贤者」的男人──梅林捡回家收养，取名为「西恩」。西恩在贤者身边学习魔法，并顺利地成长，然而，他有一个致命的问题……没错，西恩十五岁时，梅林说了──「老夫忘记教常识了」!! 「毫无常识」且「规格外」的主角所呈献，异世界奇幻生活开幕！,,,,,,,,,,,,
没出息的阴阳师一家,52324000,235000,1259000,100000,332000,漫画改搞笑泡面热血,9.5,6699,已完结, 全12话,17,2268,简介：即使Boss永远刷不过、即使对战永远打不赢、即使SSR永远抽不到、即使组队永远组翻车、即使是倒霉的人生，也总会遇到一起努（dao）力（mei）的伙伴。这里，是那个阴阳师晴明和他手下式神们的”奋斗“剧！,,,,,,,,,,,,
北极探秘 极端之地,408000,1234,7367,423,2327,自然动物,暂无评分,评分人数不足,已完结, 全8集,0,2,简介：北极有超过1千4百万平方公里的土地，水域和冰层。它有着全世界最壮丽的风景地貌，最雄伟的生物。北极激发着我们对神话传说的想象，许多人认为北极是不毛之地，冰封万里且毫无生机。但是这有很多令人惊奇的植物和动物。从德文岛、麦肯齐三角洲、到努勒维克、宁金甘尼克海域，再到哈德逊湾的西岸和育空地区，都受到气候变暖的影响。不仅仅是这里动物的生活受到影响，这里人类的生活受到影响，全世界都会受到影响。北极究竟有什么秘密，全球变暖究竟造成了何种影响？我们终会探明。,,,,,,,,,,,,
袋熊的秘密生活,483000,1105,3729,427,2473,自然动物,暂无评分,评分人数不足,已完结, 全2集,0,2,简介：澳大利亚这个与世隔绝的岛屿大陆，拥有全世界独一无二的丰富的生物物种，那里有一种动物与考拉分享着共同的祖先，但鲜为人知，这就是袋熊。它们体格矮胖，酷似小熊，行动缓慢，栖息在隐蔽的洞穴内，臀部是它们最佳的防御方式，它们的粪便呈立方体状，可爱至极。让我们一起走进本系列纪录片，看它们是如何繁殖、觅食，袋熊妈妈是如何哺育袋熊宝宝的吧!,,,,,,,,,,,,
地平线：宇宙中的怪异天气,406000,1302,772000,589,2591,宇宙自然科技,暂无评分,评分人数不足,已完结，共1集,0,6,简介：从保龄球大小的冰雹到扭曲的龙卷风，地球上的天气可以说是无奇不有，但即使是我们见过的最极端的天气也无法和太阳系其他行星或宇宙中数百万光年以外的行星上的天气相比。通过参观先进的实验室和使用神奇的CGI图像，《地平线》将再现这些行星上的天气，并构建出一个任何科幻小说作者都无法想法的世界。,,,,,,,,,,,,,
母亲（僅限台灣地區）,14000,365,3056,573,898,剧情家庭,暂无评分,评分人数不足,已完结, 全11集,0,17,简介：35岁的铃原奈绪（松雪泰子 饰）只身漂泊北国。似乎因某种原因，在过去的10年里她从未回到家中。奈绪喜欢观察鸟类，却阴差阳错成为一名小学教员。在此期间，她邂逅了7岁的小女孩道木怜南（芦田爱菜 饰）。怜南想法独特，性格开朗，只是身边没有一个朋友。她生长在单亲的家庭里，母亲和 情人同居，过着寥落破败的生活。怜南的特立独行和其身上偶然发现的伤痕引起奈绪和校方的注意。他们意识到这个小女孩正遭受来自母亲的虐待，几经波折，奈绪的母性被唤起。她决定“诱拐”怜南，担当起作为母亲的责任。那个飘雪的日子，奈绪和怜南乔装打扮，相约...,,,,,,,,,,,,
巴啦啦小魔仙,48945000,1645000,438000,59000,198000,奇幻搞笑青春,9.6,7098,已完结, 全52集,12,2471,简介：故事发生在一个名为魔仙堡的魔法世界之中，黑魔仙小月（周娇 饰）偷偷修炼黑魔法，还想要盗走魔仙彩石。守护魔仙小蓝（廖景萱 饰）为了追寻魔仙彩石的下落来到了人间，藏身于音乐盒中，偶遇了善良的姐妹凌美淇（孙圳 饰）和凌美雪（黄安仪 饰）。小蓝住进了姐妹两的家中，化身成为他们的保姆，三人共同度过了一段充满了幸福和快乐的生活，彼此之间结下了深厚的友谊。魔仙女王（王慧 饰）特别准许小蓝教授两姐妹魔法，美淇和美雪成为了小魔仙，与此同时，小月亦在人间结识了名为严莉莉（刘美含 饰）的女孩，将她变成了小黑魔仙。在人间，一场正...,,,,,,,,,,,,
