电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
小羊驼拉玛 中文配音,285000,12,900,131,230,少儿,暂无评分,评分人数不足,已完结, 全50话,0,2,简介：《小羊驼拉玛》是在爱尔兰政府的支持下，由爱尔兰电影产业投资制作。该片根据安娜·杜德尼的《小羊驼拉玛》系列图书改编，由美国著名演员詹妮弗·加纳为拉玛妈妈配音，讲述了小羊驼们每天在羊驼妈妈的关爱下成长的故事。,
朱门血痕,77000,31,1394,38,3287,,暂无评分,评分人数不足,116,0,3,简介：伊丽莎白的父亲山姆是制药公司的总裁，在一场意外中，山姆不幸遇难丧生，伊丽莎白接替了父亲未尽的事业，坐上了公司领导人的交椅。检察官马克思负责调查山姆的死因，刚开始，他也以为这只是一场意外事故，但随着时间的推移，重重的疑点将这场事故变为了谋杀。,
点亮欧洲,21000,71,258,26,2379,剧情,暂无评分,评分人数不足,95,0,0,简介：温州生产的金属打火机，大部分出口到欧洲，欧盟要针对中国打火机实施安全标准，这构成了对中国打火机企业的歧视，也损害了欧洲普通消费者的利益。以林朝安为代表的温州企业家们经历了一系列斗智斗勇的不懈努力，终于取得了应对CR法规和反倾消调查的胜利。,
白衣侠女,26000,60,287,74,3224,剧情,暂无评分,评分人数不足,88,0,0,简介：出身武术世家的白莲教首领王聪儿有勇有谋，武艺超群。她正在与总掌柜王清、军师刘三槐商议起义之事，突然被清军包围，王跳下悬崖逃脱。清政府在全城张贴悬赏缉拿王的告示。聪儿随父假扮江湖艺人出城，却一路都被清兵暗中跟踪，他们意识到身边出了内奸，果真刘三槐正是内奸，刘自知死期已到，羞愧地上吊自杀了。王聪儿将追踪的清兵杀死，重新拉起大旗起义,
伸冤人,263000,3683,6721,528,5474,动作犯罪惊悚,9.0,205,132,1,47,简介：麦考尔（丹泽尔·华盛顿 Denzel Washington 饰）是一名已经退役的黑色行动突击队队员，常年浸淫在充满了暴力和危险的生活中，麦考尔的内心早已经疲惫不堪，为了脱离组织，他大费周章伪造了自己已经死亡的假象，来到了波士顿，改头换面，隐姓埋名，企图能够过上平静安宁的新生活。一次偶然中，麦考尔遇见了被俄国黑帮控制的雏妓泰利（科洛·格蕾斯·莫瑞兹 Chloe Grace Moretz 饰），女孩坎坷的身世和危险的现状博得了麦考尔的同情，他决定帮助这个可怜的女孩。然而，在解救泰利的同时，麦考尔自己也陷入了黑帮强大的火力之中，对警方的昏庸和腐败...,
谁来倾听,27000,22,346,31,2839,爱情剧情,暂无评分,评分人数不足,101,0,0,简介：大学生李雯是个清纯美丽的姑娘，她无意中介入了电视台主持人孙平的生活。孙平的家庭看似平静，他与妻子小力各自忙于自己的事业，一心挣钱，夫妻关系日渐冷淡。小力的朋友娜娜等人热心斡旋，但极力维护小力家庭的努力却适得其反，几乎将孙平的家庭推向崩溃的边缘。 正当孙平几乎不能自持之时，他忽然发现李雯竟然是个身患绝症、处于生死边缘的病人。于是孙平、小力和娜娜等人共同投入了对李雯的热心救助之中，没想到这一救助行动又奇迹般地挽救了孙平与小力濒临毁灭的家庭。 每一个人可以通过倾诉和倾听反思自己的生活、重建自己家庭的幸福。,
呼我,41000,38,585,24,2764,剧情,暂无评分,评分人数不足,87,0,3,简介：大洪是一家花店的打工仔，他每天练声，想唱男高音。一天，大洪替大客户金先生去给写字楼里的胡莉送花，胡莉看了卡片上送花人的名字把花扔了，并且拒绝签单，大洪争辩，被保安架了出去…,
巨鳄风暴,131000,1666,1622,102,3805,惊悚剧情灾难,暂无评分,评分人数不足,87,0,36,简介：故事发生在位于美国佛罗里达州的一座小镇内，一场猛烈的飓风在居民们措手不及的情况下袭击了该小镇。海丽是一名游泳运动员，在训练中，她接到了姐姐打来的电话，姐姐告诉她，她们的父亲戴夫失踪了。政府命令小镇上所有的居民们都从家中撤离，但是海丽无法弃父亲于不顾，擅自折返来到了父亲的家中，果不其然，在地下室里，海丽找到了身受重伤的父亲，如果不是她即使出现，那么戴夫将必死无疑。,
极地特快,110000,1335,9080,680,5947,冒险动画奇幻家庭,9.8,200,100,0,50,简介：信则灵。小男孩始终坚信圣诞老人的存在，但周围的大人和玩伴都认为这只是他天真的一厢情愿。圣诞前夕，小男孩终于因为他的坚持而得到了回报，睡梦中的他忽然感到屋子颤抖起来了，一列长长的火车停在了他的家门口。当他战战兢兢打开房门时，和蔼的列车长邀请他参加北极的圣诞派对。,
爱探险的朵拉：消失的黄金城,4713000,15000,67000,4588,48000,,9.5,1200,102,7,504,简介：朵拉自幼和父母一起生活在丛林中，一天，父母决定去寻找传说中的黄金城，于是将朵拉托付给了住在城里的表哥蒂亚戈一家人照顾，就这样，野性十足的朵拉进城开始了她的高中生活。从小自由自在惯了的朵拉当然无法适应学校里的生活，闹出了许多的笑话。然而，在一次学校组织的参观活动中，她和朋友们遭到了神秘罪犯的绑架，被绑回了丛林中，这对于朵拉来说简直就是如鱼得水。朵拉凭借着自己丰富的野外生存经验救下了同学们，不仅如此，她还要去解救同样遭到了绑架的双亲…,
大黎明,40000,236,2899,87,3044,,暂无评分,评分人数不足,98,0,3,简介：一帮劫匪打劫了法国旺代省圣让德蒙的一间银行，其中一人受伤，而一起更加冒险的劫持正在策划中。西蒙，正是这帮劫匪的头目，也是巴黎一家夜总会的老板。阿兰·德龙饰演的古兰德鲁警长授命调查此案，私下与西蒙是挚友。而由德纳芙饰演的凯西在二人中辗转，形成三角恋。最后，根据死去受伤劫匪的身份，警长逐一查出其余成员的身份，将他们绳之于法。,
山水之上,67000,451,3503,1127,2960,人文历史,暂无评分,评分人数不足,已完结，共1集,0,13,简介：【活字文化出品】这是一次精神漫步式访谈：西川直面镜头袒露内心，从谈北宋山水画入手，延展为对中国文化的整体反思；这是一份当代人的思考指南：如何对待传统？传统与当代生活的关系是什么？我们今天需要一种什么样的文化创造？我们应该如何过我们的当代生活？这是一部人文艺术纪录片：一虚一实两条线索贯穿全片，既有思想情感上的共振交流，又有对西川个人的挖掘和塑造，理性与感性互为补充。,
侠骨风流,38000,115,846,32,2926,剧情,暂无评分,评分人数不足,86,0,1,简介：隋朝末年，淫贼猖獗，兵荒马乱。身怀救国救民大志的铁匠尉迟恭弃工从戎，却遭奸人诬陷，解甲归田。后听唐王李世民规劝，与程咬金等人协助李世民南征北战，屡立战功。在李世民登基的盛典上，尉迟恭站在武官之首，好不威武。,
能人于四,51000,40,734,31,3312,喜剧,暂无评分,评分人数不足,101,0,1,简介：于四在扶贫队长何蔚兰帮助下成了柴禾沟的冒尖户，手里有钱后他目空一切，在儿子的婚礼上大搞封建迷信，并自封董事长与他人办鞋厂，结果连乡亲们的报名费都被郎老七骗走，还钱时只好自掏腰包。为使自家的木板厂顺利运营，他想把女儿春杏嫁给供应商罗主任做儿媳，遭女儿拒绝…,
魔能圣甲：守护者,281000,14,652,93,614,热血战斗机战,暂无评分,评分人数不足,已完结, 全26话,无,无,简介：在未来，由于地球资源枯竭，人类面临着严重的死亡威胁、感染疾病、饥荒和战争，地球即将走向灭亡。一组科学家推出“立方计划（HEXA）”，旨在于太空中探索和寻找一个人类可居住的星球。,
钢铁侠：噬甲危机,312000,120,4857,109,7624,动作动画科幻,暂无评分,评分人数不足,88,0,10,简介：斯塔克公司最新研制的天幕卫星“霍华德”即将升空，它超强的监视功能饱受争议。而托尼·斯塔克则饶有兴致地与战争机器詹姆士·罗德穿着各自的铠甲进行连番惊险刺激的较量。就在此时，号称“突击兵”的武装机器人入侵发射场，与钢铁侠和战争机器展开激烈的混战。而指挥部方面，一名自称以西结的神秘白色铠甲人释放出神秘生物细胞，杀害了所有眼前的生物。钢铁侠在与他的对决中遭遇惨败，指挥塔也彻底毁灭。在此之后，他拒绝向神盾局汇报细节，独自一人找到正在休假的佩珀·波茨，一同调查以西结的身份及其真实目的。,
傻瓜猫和笨蛋狗,36000,4,148,67,640,日常搞笑,暂无评分,评分人数不足,连载中, 每周三、六 12:00更新,0,3,简介：关于笨蛋狗和傻瓜猫的日常搞笑、励志、热血小动画。,
巴黎小情歌,34000,35,1471,34,3317,爱情歌舞剧情,暂无评分,评分人数不足,92,0,1,简介：伊斯麦（路易斯·加瑞尔 Louis Garrel 饰）和茱莉（露迪芬·莎妮 Ludivine Sagnier 饰）是一对产生裂痕的情侣，因此异想天开找来伊斯麦同事爱丽丝（克劳迪德·埃斯曼 Clotilde Hesme 饰）加入他们，试图用三人行为爱情增加激情。但三个人的爱情，终究只是烦恼的叠加，一场争吵之后，茱莉突发心脏急病倒在酒吧。如今剩下伊斯麦和爱丽丝的二人世界，可是愧疚和想念令伊斯麦无福消受，茱莉的家人也开始以“关怀”的姿态进入伊斯麦的生活，尤其是其姐珍娜（基娅拉·马斯特洛亚尼 Chiara Mastroianni 饰）近乎骚扰地出现在他家里，令他快要发疯。,
质数的孤独,45000,233,4611,73,2931,剧情,暂无评分,评分人数不足,118,1,4,简介：幼年时的一场滑雪事故，令爱丽丝（阿尔芭·洛尔瓦彻 Alba Rohrwacher 饰）摔伤了腿，并且这伤痛将永久的伴随和改变她的一生。天才少年马蒂亚（卢卡·马里内力 Luca Marinelli 饰）在他友善纯洁的外表下掩藏了一个十分黑暗的秘密。他那智力发育不全的孪生妹妹带给他的并非怜惜或是责任感，正相反，他希望永永远远的丢开这个恼人的累赘，一天，他真的这么做了。,
芭芭拉,305000,371,2378,91,4839,剧情,暂无评分,评分人数不足,105,0,16,简介：女医生Babara因为企图从民主德国逃到联邦德国未遂，而被从柏林调遣到一所乡村医院工作，一开始她根本不和周围的人来往，直到医生Andre主动和她接近。医院里新送来一名女孩Stella，得的是脑膜炎，在Babara的细心呵护下逐渐康复。女孩却又因为怀孕了而被送去东德的劳教所。而另一方面，Babara在男友的帮助下积极准备下一次逃亡计划……,
三国志：关公（上）,136000,1044,2396,91,3349,剧情战争历史,暂无评分,评分人数不足,86,0,14,简介：东汉末年，朝政腐败、民不聊生。太平道首领张角组织领导了"黄巾起义"。汉家王朝危在旦夕。涿县刘备、关羽、张飞为恢复汉室杜稷，在楼园结为兄弟，广招贤士，组织队伍。心怀野心的西凉刺史董卓乘机作乱，率大军进京，将吕布收为义子，权倾朝野，废少帝，立陈留王为献帝，从此，挟天子以令诸侯。,
三国志：关公（下）,39000,223,2396,30,2191,剧情战争历史,暂无评分,评分人数不足,189,0,0,简介：官渡之战，曹操消灭了袁绍。即乘胜连下四州，平定河北。刘备在荆州被袭遇险，意外幸会水镜先生，并推荐了卧龙凤雏。刘、关、张三顾茅庐，请孔明出山相助。孔明第一次用兵，便使数万曹军受挫于博望坡。刘表死后，曹操得了荆州，兵围当阳。赵子龙长板坡百万军中救出幼主阿斗；张飞当阳桥前喝退 曹军。曹军沿江结寨，训练水兵，准备吞并江东。孔明运用策略，与孙权联合抗曹。周渝、孔明协同谋划，为赤壁大战打下了胜利基础。,
东京！,167000,182,7259,110,4501,剧情喜剧奇幻,暂无评分,评分人数不足,112,0,1,简介：弘子（藤谷文子 饰）和怀揣导演梦想的男友阿明（加濑亮 饰）来到大都会东京，手头拮据的他们只得暂住在弘子好友清水朱美（伊藤步 饰）的公寓中。为了生计，两人四处寻找工作和住处，却一路坎坷。阿明的作品终于在一家小影院上映，望着男友喜悦的样子，弘子愈发感到自己的一无是处，就像一把被人丢弃的椅子一样…,
隐墙,37000,111,1614,56,2824,剧情奇幻,暂无评分,评分人数不足,108,0,6,简介：影片的主人公是一位并没有给出姓名的女人(马蒂娜·戈黛特《他人的生活》饰演)。她和两位朋友以及她们养的狗一起来到阿尔卑斯山脚下度假。安顿下之后,朋友提议出去散步,而她因为驾车的疲倦决定赶早睡下。第二天早上醒来之后,她发现朋友们整夜未归,而只有小狗卢齐思陪在她身边。,
在人海中遇见你,37000,210,3541,134,3394,剧情喜剧,暂无评分,评分人数不足,94,1,12,简介：他是一个只愿宅在家里的网站设计师，她是一个做着橱窗设计的建筑师。在这个信息科技高速发达的年代，无论是他还是她都在经受不同程度的精神压抑。他们住在同一个城市同一条街道，但是却像两条平行的直线从未有过交点。他们分别和各自的伴侣约会、分手，各自在寻找着那个正确的人。,
但丁密码,213000,635,145000,131,5413,冒险动作犯罪惊悚,暂无评分,评分人数不足,122,1,12,简介：《但丁密码》改编自丹·布朗2013年的小说《地狱》，讲述了符号学教授罗伯特·兰登（汤姆·汉克斯 Tom Hanks 饰）在意大利一所医院中醒来，发觉自己头部受到重创且失忆，同时还受到多组人马追杀，女医生西恩娜·布鲁克斯（费莉西蒂·琼斯 Felicity Jones 饰）帮助他逃出医院，寻回记忆，在这一过程中发现隐藏在但丁、米开朗琪罗等大师作品里的一个惊天阴谋，有极端邪恶的科学家妄图利用病毒把地球变成但丁《神曲》中描绘的地狱。,
保镖,69000,1088,4280,309,4115,爱情动作惊悚剧情,暂无评分,评分人数不足,129,1,37,简介：弗兰克（凯文•科斯特纳 Kevin Costner 饰）是前总统的保镖，他责任心强，公私分明，从不和雇主发生感情。但是歌手雷切尔（惠特尼•休斯顿 Whitney Houston饰）却打破了他的信条。雷切尔是一个魅力非凡的女歌星，无数人甘愿做她的裙下之臣。这天她收到匿名信，恐吓说要杀掉她。雷切尔惟有请来弗兰克做保镖。尽管二人之前并不认识，但在相处中，弗兰克还是被雷切尔的魅力征服，二人堕入爱河。然而职业的操守和理智，让弗兰克变得自制。他认为雷切尔是雇主，他的首要任务是保护她的安全，他刻意和雷切尔保持一定的距离，这一切伤透了雷切尔的心。...,
暴走夏日,260000,106,47000,221,4200,漫画改热血恋爱搞笑,暂无评分,评分人数不足,连载中,无,无,简介：出场就大胜不败传说，这个妹妹不简单！曾经的门派最强者申冬，如今只想安稳度日，但夏日的出现却打破了其宁静的生活。这个到处闯祸的女生看似乖张不羁，内心却善良温暖。申冬逐渐被其影响感动......与此同时，四大门派间的矛盾不断升级，这一次，新仇旧怨一并了结！,
还有诗和远方·诗画浙江篇 第三季,355000,5970,15000,1770,3325,文化旅游真人秀,暂无评分,评分人数不足,连载中, 6月26日起每周日21:40更新,0,16,简介：《还有诗和远方·诗画浙江篇》第三季将于2022年6月26日温暖回归，这是浙江卫视在中共浙江省委宣传部指导下重磅推出的一档文化旅游类探寻体验节目。华少、杨丞琳、白举纲组成“诗和远方旅行团”，走进诗画江南、活力浙江，深入体验民俗文化、探寻浙江各个地方的风土人情，在不同的烟火中发现生活的诗意与浪漫。,
凯·莱尼的冲浪生活,33000,26,373,103,4044,运动,暂无评分,评分人数不足,已完结, 全5集,0,1,简介： 奥地利Red Bull运动员Lenny Kai正在重新定义人类征服海浪的极限。他从自然与海洋中汲取能量，对他而言，没有什么是能比乘风破浪更美妙的事情了。,
登峰造极,78000,34,713,144,6815,运动,暂无评分,评分人数不足,已完结, 全8集,0,3,简介：一群奥地利Red Bull运动员为了追求自己的梦想不断突破极限的故事。,
发胶,34000,374,1881,181,3157,爱情歌舞喜剧,暂无评分,评分人数不足,117,0,18,简介：胖女孩特蕾西生长在60年代的一个普通美国家庭。她迷上了一个电视选秀的舞蹈节目，并梦想能站到舞台上发光发亮。然而特蕾西的母亲，自小因为肥胖而缺乏自信，常常担心肥胖是特蕾西的绊脚石。不料特蕾西在节目中的出色表现，令她的前途顿时开阔。甚至大家对她的喜欢，胜过了本来非常得宠的艾姆伯小姐。欢喜之余，特蕾西却迎来了事业的急剧转折。一方面，艾姆伯为了保住地位，不惜用尽卑劣手段力挽狂澜，甚至不惜勾引特蕾西的父亲，使得其家庭不和。另一方面，当时社会严格实行种族隔离，特蕾西还陷入了一场种族斗争之中，危险的形势随时会把她的...,
小魔美食大百科,420000000,108000,110000,161000,10852000,原创萌系,9.4,325,连载中,0,132,简介：食物很重要，可我们和食物之间，却存在着巨大的“信息差”。水果烂了一小块，切掉之后还能吃吗？小龙虾哪里不能吃，哪里能吃？……你知道答案吗？不知道也没关系，《小魔美食大百科》都会解答，让你吃得放心，胖得明白！我是小魔，你的粮食科普大师。,
哈小浪,55666000,2594,34000,2686,158000,日常校园,暂无评分,评分人数不足,连载中,无,无,简介：《哈小浪》是以短视频的形式，校园生活娱乐为话题的连载动画。以脑洞大、情节新颖轻松为人所喜爱。,
元尊 动态漫 第三季：真假圣龙,1536000,2892,126000,2134,10000,热血战斗动态漫玄幻,8.9,140,连载中, 每周三 12:00更新,1,35,简介：改编自知名作家天蚕土豆的同名漫画《元尊》，讲述了大周王朝太子周元，遭到敌国大武王朝的戕害，圣龙气运被夺，身中怨龙毒，多年来无法修炼，命在旦夕。而少年周元，热血不息，遇少女夭夭，得天元神笔，解除桎梏，击败大武。周元发誓要夺回属于自己的一切。,
我的弟子遍布诸天万界 动态漫,4513000,6789,44000,5771,23000,战斗动态漫玄幻,5.1,538,连载中, 每周四、六 9:00更新,1,182,简介：不死少年陆沉身陷混沌域绝地百万年，只能依托庞大魂力以神识游历诸天万界，但每次游历之后都会陷入长久的沉睡中。历经无数年的暗中布局，改变命数轮回,终于在又一次苏醒后，于神魔墓园脱困而出，如龙入海。时过境迁，昔日被迫收下的徒弟竟成了修为通天的大帝，好心收养的小女孩已成为镇压一界的仙子，就连随手捡的一只癞皮狗，也已成为一宗之祖……诸天万界，天地为局，众生为子，对抗十二苍天，一切都在他谋划百万载的旷世奇局之中！,
神奇动物：邓布利多之谜,27851000,122000,2926000,31000,201000,冒险奇幻,6.1,5160,142,45,1783,简介：阿不思·邓布利多教授（裘德·洛 饰）意识到强大的黑巫师盖勒特·格林德沃（麦斯·米科尔森 饰）正试图夺取魔法世界的控制权。邓布利多了解仅凭他一人之力，将无法阻止格林德沃，于是他委托魔法动物学家纽特·斯卡曼德（埃迪·雷德梅恩 饰）带领一支精良的团队——成员包括男巫、女巫及一位勇敢的麻瓜面包师，来共同执行这项危险任务。一路上他们会遇到各式各样的神奇动物，既有老朋友，也有前所未见的神秘生物；同时他们也随时会与格林德沃不断壮大的追随者发生冲突。这次行动的风险是如此之高……邓布利多还能袖手旁观多久？,
初恋的回忆,138000,114,19000,80,2900,爱情剧情,暂无评分,评分人数不足,101,1,1,简介：杰米（曼迪·摩尔 Mandy Moore 饰）是一个学习优秀长相平凡的女生，身为牧师女儿的她信仰坚定，不为人所影响。兰顿（夏恩·韦斯特 Shane West饰）是典型的坏学生，不爱学习，吊儿郎当，瞧不起另类清高的杰米。因为一个过火的恶作剧，兰顿被罚到附属学校去做家教，并且要在一个舞台剧中扮演谦卑角色，而剧中的女主角正是他甚无好感的杰米。杰米对排练的投入渐渐感染了初到剧团的兰顿，兰顿开始投入角色，并对杰米有了改观。然而自信的杰米竟要兰顿立下约誓言，要他一定不能爱上自己。排练的日子相处磨合，男生女生间的感情还是悄悄滋长了。然而杰...,
我是特优声 剧团季,89960000,622000,1421000,256000,1578000,真人秀,9.6,5054,连载中, 每周六 20:00更新,106,1667,简介：哔哩哔哩出品的首档声音演员竞演真人秀。邀请了14位优秀的男性、女性声音演员，经过六次不同主题的声音剧场的演出， 在观众的肯定与鼓励中，努力成长为一支优秀的声音剧团。,
卡片战斗先导者will+Dress,778000,802,337000,1416,32000,游戏改,9.1,107,连载中, 每周一 23:00更新,1,29,简介：2021年4月播放了电视动画《卡片战斗先导者 overDress》第一季，同年10月播放了第二季。而作为续作的《卡片战斗先导者 will+Dress》将在2022年7月开播！此次的角色设计依然是CLAMP，动画制作也依然是Kinema Citrus。故事将以悠游一行人及新角色们参加的某个大赛为中心，务必不要错过新的大战！,
老虎连,111000,491,4623,129,4080,剧情战争,暂无评分,评分人数不足,100,0,14,简介：罗伦巴斯刚从禁闭室放出来，便被派到越南作战。但特立独行的巴斯不仅遭到同袍排挤，也处处受到指挥官的压制。当他们抵达战场前的“猛虎岛“受训时，巴斯凭藉著独特的领袖魅力将大家凝聚起来，并带来始料未及的结果…,
嫁到这世界边端 第1季,229000,652,5620,300,8110,人文社会,暂无评分,评分人数不足,已完结, 全10集,0,3,简介：不少香港女士梦想做过埠新娘，然而现实真的如梦想般完美？有女士远嫁德国，语言、文化、人脉全然陌生，工作、婆媳相处困难重重；有女士经历人生谷底时，遇到一名丹麦男子，被他感动嫁到彼邦，却不想当地人歧视华人，自己成为了不受欢迎的人！体验过嫁到世界边端的伤痛，是什么令她们甘愿继续“捱”下去，为爱情狠狠赌一把？陈贝儿与这些主角促膝长谈，挖开他们深藏心底的心声。,
狄更斯世界,1367000,3042,14000,828,3752,剧情,暂无评分,评分人数不足,已完结, 全13集,1,15,简介： 故事发生在十九世纪的伦敦，故事中所出现的人物均为著名作家狄更斯笔下的角色。亚瑟（约瑟夫·奎恩 Joseph Quinn）和艾米莉亚（塔彭丝·米德尔顿 Tuppence Middleton 饰）悲痛的埋葬了父亲的遗体，让亚瑟感到震惊的是，父亲竟然没有将一分一毫的遗产留给他，这让他在内心里偷偷埋下了复仇的种子。皮条客费金（安东·莱瑟 Anton Lesser 饰）打算将女孩南希（Bethany Muir 饰）送往雅各布（彼得·弗斯 Peter Firth 饰）所主持的晚宴助兴，为了确保南希的安全，小偷比尔（马克·斯坦利 Mark Stanley 饰）决定全程跟随南希，一步也不离开。就在晚...,
Ｄｒ．ＳＴＯＮＥ 石纪元 特别篇：龙水,1920000,12000,4213000,13000,38000,漫画改热血科幻战斗,9.8,2232,已完结, 全2话,2,532,简介：从石器时代到现代文明，登上200万年的科学史！前所未有的技艺冒险故事，在此开幕！所有人类因神秘现象瞬间石化后已过了数千年——拥有过人头脑的，天才科学少年千空醒来了。面对文明已经毁灭的石之世界，千空决定，用科学的力量将世界恢复原状。他要集结新的同伴，建立起“科学王国”。但是，灵长类最强的高中生狮子王司率领着“武力帝国”拦住了他。司以净化人类为目标，想要靠强大的武力阻止科学发展。科学与武力间爆发了激烈的战斗，最终千空率领的科学王国取得了优势。由于同伴谋反，司陷入了人工冬眠状态。接着，为了复活全人类，科学王国...,
英雄联盟手游赛事2021年度纪录片,773000,375,1691,656,3207,人文运动,暂无评分,评分人数不足,已完结, 全3集,0,4,简介：从英雄联盟手游职业资格赛到英雄联盟手游电竞联赛WRL正式成立！一起回顾2021英雄联盟手游赛事发生过哪些故事？走进英雄联盟手游电竞元年，感受不一样的电竞精神！,
自杀专卖店,4255000,13000,230000,13000,60000,动画歌舞喜剧,8.8,1279,79,11,0,简介：死气沉沉的法国小城，一家有口皆碑的老店却格外生意兴隆。原来这家祖传老店代代皆以贩卖自杀产品著称。在如此灰暗恐怖的小镇上，自杀成了当地居民稀松平常之事，这也是小店异常火爆的原因。经营此店的老板三岛了无生气，老板娘更是日日愁眉苦脸。他们早就丧失了对生活的热情，终日郁郁不安。长期贩卖自杀用品，让他们濒临崩溃的边缘。幸好他们的一双儿女还热爱着生活，尤其是他们的小儿子阿伦，笑容总是挂在他的脸上。然而，阿伦热爱生活的态度却威胁着老店的经营，父亲想尽办法让阿伦变得消沉，甚至把阿伦逼上了绝路……,
传颂之物 二人的白皇,1776000,5397,495000,7986,39000,游戏改,9.7,952,连载中, 每周日 00:30更新,5,304,简介：《传颂之物 二人的白皇》“拜托你了，小哥。”随着帝的驾崩，邪马台陷入动乱。右近卫大将奥修特尔因为毒杀邪马台皇女杏树未遂而被追捕。经过激烈的战斗后，他耗尽了假面的力量，肉体和灵魂都化为了世界的一部分。在离别之际，他将杏树和猫音的未来，托付给了自己的朋友“白”。被奥修特尔托付了假面和遗志之后，白舍弃了自己身为“白”的人生，选择了戴上假面，以奥修特尔的身份活下去。在逃到恩那卡姆伊后，杏树开始有了一些恢复的迹象，为了取回父亲留下的皇女之位，毅然奋起。随着邪马台陷入混乱，八柱将之一赖光拥立了假皇女，意图掌控这个...,
奇幻世界舅舅,30011000,106000,1309000,125000,498000,漫画改穿越奇幻搞笑,9.8,7629,连载中, #07 介质原因，延后更新,19,1785,简介：2017年秋天――17岁时被卡车撞到，并在此后17年间昏睡不醒的舅舅醒了。前往病房探望的外甥敬文看到的是，口中嘟囔着莫名其妙的话语，从奇幻世界「格兰巴哈马尔」回到现实世界的舅舅。……舅舅的脑子不太对劲。见到此状敬文无言以对，但舅舅说要展示去过奇幻世界的证据并用出了魔法。敬文打算靠舅舅的力量换取钱财来过日子，便收留了无家可归的舅舅开始了合租生活。在与舅舅共度的生活中，舅舅不断说着在奇幻世界的冒险故事和对世嘉满溢而出的热爱。舅舅这半辈子充满了孤独和残酷，听得敬文时而开心时而痛心。这是努力做视频的两个年龄相差悬殊...,
惑星公主蜥蜴骑士,3113000,5326,132000,3656,51000,漫画改奇幻战斗,7.7,415,连载中, 每周五 21:00更新,2,150,简介：雨宫夕日是一名极其普通的平凡大学生。某一天，一只会说话的蜥蜴出现在他面前，请求他帮忙拯救「地球的危机」。还不等夕日拒绝，他就成为了兽之骑士团的一员，戒指的力量赐予了他超能力——掌握领域，却不料很快就遭遇了敌人的袭击。就在夕日陷入绝境之时，解救他的居然是住在隔壁的少女——五月雨。本以为是救世主降临，没想到五月雨竟然是企图征服地球的魔王……夕日被那破天荒的实力和魔王的魅力所吸引，成为了五月雨的仆人，开始帮助她实现其他的愿望。,
打工吧！魔王大人 第二季,19110000,76000,3113000,52000,218000,架空小说改穿越日常,7.5,3915,已完结, 全12话,41,1239,简介：真奥贞夫和游佐惠美，既是在异世界安特·伊苏拉互为仇敌的魔王和勇者，同时也是在现代的日本东京每天辛勤劳动的工作者。两人和魔王城的成员，以及陷入爱河的女高中生千穗等人，一起享受着日本的生活，同时也在经济的波涛中苦苦挣扎——但是在某一天，神秘少女出现，让魔王城陷入了大混乱？！意想不到的育儿，以及不断从安特·伊苏拉前来的访客，让真奥贞夫明白了——不认真工作的话根本维持不了生活。,
世界零距离 第二季,54000,181,1153,100,6979,人文社会,暂无评分,评分人数不足,已完结, 全10集,0,0,简介：《世界零距离 2》由方东昇、陈沛珈、黄晓莹三位记者到不同冷门国家进行采访。有别于以往无线电视的旅游节目，《世界零距离》系列是由新闻记者主持，并非由艺人主持，令人耳目一新。而主持方东昇一反新闻报道中的严肃形象，以生动有趣的方式旁白，令《世界零距离2》一度成为网民热话。,
去野吧!餐桌,344000,383,2052,391,19000,人文自然旅行美食,暂无评分,评分人数不足,已完结, 全12集,0,4,简介：户外露营美食轻综艺《去野吧!餐桌》由广东卫视《老广的味道》工作室创意策划，以旅行、美食这一喜闻乐见的媒介为承托，让两位厨艺和颜值俱佳的95后开启一场特别的寻味之旅。节目将展现高效的经济发展带来共同富裕的生活变化，在两位青年与本地人围绕美食主题展开的合作中自然地体现。,
孤岛之歌,35000,154,2471,255,503,人文社会,暂无评分,评分人数不足,已完结, 全5集,0,3,简介：《孤岛之歌》（第一季）探访多位不同年龄、不同职业的独居女性。节目记录她们真实生活状态的同时，探讨“孤独” 的要义及女性独居涵盖的内容，通过走访与谈话，向观众展现女性身上特有的独立与乐观精神， 与当下“独居时代”进行呼应。,
游戏先锋,2700000,880,25000,1939,16000,人文科技,9.4,107,已完结, 全6集,0,20,简介：电子游戏是一种大众娱乐，具有很大的研究意义——新时代被创造、历史被重新演绎、末世的无穷想象，这些游戏到底是怎么制作的？最重要是的电子游戏故事是如何讲述历史的?《使命召唤》、《生化奇兵》、《赛博朋克2077》等众多游戏都将被一一分析。,
