电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
摩登森林之美食总动员,77000,165,678,59,4755,喜剧动画冒险,8.4,138,89,3,78,简介：故事发生在风景秀丽的摩登村，一场声势浩大的美食大赛即将拉开序幕，肉食主义者旦旦、素食主义者元元和小龙都参加了这场比赛，然而，一场意外中，三人碰倒了神圣的“美食碑”，之后又在误打误撞之中穿越到了一个名为美食世界的异次元时空之中。在那里，元元落入了肉族的手中，旦旦和小强毅然踏上了寻找朋友，拯救美食世界的旅途。,
野游,12000,22,143,21,66,剧情短片,暂无评分,评分人数不足,22,0,1,简介：公园保安在意外摔断手臂后，无聊且冗长的生活似乎发生了微妙的变化。,
抗生素的真相,25000,43,778,42,863,医疗,暂无评分,评分人数不足,已完结, 全1集,0,1,简介：抗生素是抑制细菌生长或杀死细菌的药物类别。抗生素拯救了亿万人的生命，但滥用抗生素也将造成危险后果。Angela Rippon讲述抗生素的历史和应用，以及科学家寻找替代药物的努力。,
改变我一生的那一天：第2季,323000,136,37000,288,9202,社会,暂无评分,评分人数不足,连载中, 每周六 19:00更新,1,3,简介：《改变我生活的一天》讲述了普通家庭和个人面对不同寻常境遇的故事，本片记录了普通人生活中经历的各种关键时刻-从申请理想工作到音乐家经受恢复其听力的手术等等，我们用摄像机记录下了这个里程碑式的时刻。当结果最终出现时，是该庆祝还是该同情呢？这就像坐过山车一样，让人们亲历现实生活的戏剧性转变。,
印度之行,56000,672,3775,96,3795,剧情历史冒险小说改,暂无评分,评分人数不足,164,0,7,简介：艾德娜与未来的婆婆摩尔夫人远赴印度，既为了探望艾德娜未婚夫朗尼，亦可同时拓展视野。艾德娜渴望了解印度的异域风情，并因此与当地医生艾斯结识，为了满足艾德娜的愿望，艾斯担任向导带领艾德娜与摩尔太太…,
决战枭雄,27000,24,314,67,2515,,暂无评分,评分人数不足,90,0,2,简介：兄弟失散，相见后却行同陌路。两个自幼相依为命的兄弟，哥哥被黑道老大领养，一心想把他培养成自己的接班人。弟弟在孤儿院长大，成了警界精英。为了追查跨国诱拐女子一案，弟弟成了卧底，打入黑帮内部。此时，哥哥已经正式接手老大的位置。,
超变战陀3双甲战陀,1329000,2799,6704,750,7389,热血机战励志,暂无评分,评分人数不足,已完结, 全30话,无,无,简介：热爱陀螺并渴望成为新时代双甲战陀王的星野收到了第一战陀学院的入学考试邀请，星野凭借着自己的实力和永不后退的精神，成功通过考试。进入学院后，星野和小恶魔皇甫耀、神兵少族长澜等志同道合的同学们组成队伍，突破重重关卡成为了总冠军，将代表学院征战双甲全国学院联赛的舞台！就在众人在更大的舞台上，挥洒汗水追逐战陀梦想时，一场威胁着整个战陀世界的危机也悄然逼近……,
卧底肥妈3,569000,2536,23000,388,4546,喜剧,8.7,118,113,0,19,简介：FBI探员马刚为了追踪一名俄黑帮成员，再次伪装成雪莉的祖母，还把特伦特伪装成了自己的大侄女。至此，一场笑料百出又紧张刺激的卧底好戏上演了……本片为美国犯罪喜剧电影《卧底肥妈》续集。,
情定巴黎 ,101000,461,3972,118,3421,喜剧爱情,暂无评分,评分人数不足,111,0,3,简介：凯特与男友即将谈婚论嫁，男友竟爱上了别的女人，要与凯特分手。凯特伤心的前往法国寻找男友，却偶遇了吕克，两人开始了一段浪漫的法国之旅，动人的氛围影响下，两人情愫渐生…,
勇敢者的游戏,336000,2942,32000,785,6908,动作奇幻冒险,9.7,308,104,0,55,简介：“尤曼吉”是一种类似于大富翁的棋类游戏，然而，和大富翁不同的是，“尤曼吉”的棋子能自动移动，当你走到其中一格时，这格描述的东西就会真实出现在你面前，而且游戏一经开始便不能结束，只有游戏结束才一切复原！12岁的阿伦和好友萨拉才刚一开始玩“尤曼吉”，就…,
